il_kod,ilce_kod,il_adi,ilce_adi,gida_mevcut,gida_tahmin,gida_tahmin_yuvarlak,gida_fark,gida_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
4,1691,Aðrý,Tutak,1.0,0.9503717,1,0.0,dengede,4490,,233,279.0,444516.0
68,1860,Aksaray,Aðaçören,0.0,0.0,0,0.0,dengede,2599,,306,31.0,209146.0
68,1921,Aksaray,Eskil,1.0,0.58013254,1,0.0,dengede,13820,,332,290.0,779054.0
68,1932,Aksaray,Gülaðaç,0.0,0.029336557,0,0.0,dengede,9309,,435,132.0,186264.0
68,1861,Aksaray,Güzelyurt,0.0,0.0063161477,0,0.0,dengede,5249,,412,123.0,175064.0
68,1557,Aksaray,Ortaköy,1.0,1.0109562,1,0.0,dengede,14684,,432,512.0,563141.0
68,1866,Aksaray,Sarýyahþi,0.0,0.0,0,0.0,dengede,2711,,283,33.0,83346.0
68,2106,Aksaray,Sultanhaný,1.0,1.0285372,1,0.0,dengede,8360,,342,307.0,257980.0
5,1363,Amasya,Göynücek,0.0,0.0,0,0.0,dengede,4117,,381,117.0,211719.0
5,1368,Amasya,Gümüþhacýköy,0.0,0.07818596,0,0.0,dengede,12801,,472,545.0,215795.0
5,1938,Amasya,Hamamözü,0.0,0.0,0,0.0,dengede,1288,,388,65.0,49816.0
5,1524,Amasya,Merzifon,3.0,2.1967485,2,1.0,norm_fazlasi,48897,,548,1716.0,521655.0
5,1641,Amasya,Suluova,1.0,1.2436968,1,0.0,dengede,30018,,432,697.0,273133.0
5,1668,Amasya,Taþova,0.0,0.09059343,0,0.0,dengede,8401,,510,573.0,372702.0
6,1872,Ankara,Akyurt,3.0,1.9116108,2,1.0,norm_fazlasi,31768,,423,1096.0,197830.0
6,1130,Ankara,Altýndað,8.0,9.090921,9,-1.0,dengede,309197,,310,9638.0,64660.0
6,1157,Ankara,Ayaþ,2.0,1.1318372,1,1.0,norm_fazlasi,9539,,490,642.0,505498.0
6,1167,Ankara,Bala,1.0,0.85544145,1,0.0,dengede,16030,,415,391.0,1208434.0
6,1187,Ankara,Beypazarý,1.0,2.6606548,3,-2.0,norm_eksigi,36201,,500,1806.0,639928.0
6,1227,Ankara,Çamlýdere,0.0,0.017532267,0,0.0,dengede,8457,,306,179.0,24838.0
6,1231,Ankara,Çankaya,21.0,22.27275,22,-1.0,dengede,793968,,350,29287.0,103471.0
6,1260,Ankara,Çubuk,3.0,2.365475,2,1.0,norm_fazlasi,76312,,432,2281.0,391166.0
6,1302,Ankara,Elmadað,3.0,1.5349158,2,1.0,norm_fazlasi,34727,,412,1216.0,269253.0
