il_kod,ilce_kod,il_adi,ilce_adi,ziraat_mevcut,ziraat_tahmin,ziraat_tahmin_yuvarlak,ziraat_fark,ziraat_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
4,1568,Aðrý,Patnos,9.0,9.4842205,9,0.0,dengede,36378,,260,776.0,539353.0
4,1667,Aðrý,Taþlýçay,5.0,4.8844314,5,0.0,dengede,3991,,223,278.0,237855.0
4,1691,Aðrý,Tutak,5.0,7.0229163,7,-2.0,norm_eksigi,4490,,233,279.0,444516.0
68,1860,Aksaray,Aðaçören,2.0,4.491508,4,-2.0,norm_eksigi,2599,,306,31.0,209146.0
68,1921,Aksaray,Eskil,7.0,7.7330422,8,-1.0,dengede,13820,,332,290.0,779054.0
68,1932,Aksaray,Gülaðaç,3.0,4.166408,4,-1.0,norm_eksigi,9309,,435,132.0,186264.0
68,1861,Aksaray,Güzelyurt,4.0,4.738162,5,-1.0,norm_eksigi,5249,,412,123.0,175064.0
68,1557,Aksaray,Ortaköy,7.0,9.344564,9,-2.0,norm_eksigi,14684,,432,512.0,563141.0
68,1866,Aksaray,Sarýyahþi,2.0,2.888746,3,-1.0,norm_eksigi,2711,,283,33.0,83346.0
68,2106,Aksaray,Sultanhaný,2.0,4.3784995,4,-2.0,norm_eksigi,8360,,342,307.0,257980.0
5,1363,Amasya,Göynücek,5.0,4.360644,4,1.0,norm_fazlasi,4117,,381,117.0,211719.0
5,1368,Amasya,Gümüþhacýköy,9.0,8.349109,8,1.0,dengede,12801,,472,545.0,215795.0
5,1938,Amasya,Hamamözü,4.0,2.459902,2,2.0,norm_fazlasi,1288,,388,65.0,49816.0
5,1524,Amasya,Merzifon,24.0,18.815475,19,5.0,norm_fazlasi,48897,,548,1716.0,521655.0
5,1641,Amasya,Suluova,14.0,9.962224,10,4.0,norm_fazlasi,30018,,432,697.0,273133.0
5,1668,Amasya,Taþova,11.0,9.674293,10,1.0,dengede,8401,,510,573.0,372702.0
6,1872,Ankara,Akyurt,16.0,10.992637,11,5.0,norm_fazlasi,31768,,423,1096.0,197830.0
6,1130,Ankara,Altýndað,14.0,17.928793,18,-4.0,norm_eksigi,309197,,310,9638.0,64660.0
6,1157,Ankara,Ayaþ,20.0,9.1162405,9,11.0,norm_fazlasi,9539,,490,642.0,505498.0
6,1167,Ankara,Bala,10.0,10.82825,11,-1.0,dengede,16030,,415,391.0,1208434.0
6,1187,Ankara,Beypazarý,13.0,12.730965,13,0.0,dengede,36201,,500,1806.0,639928.0
6,1227,Ankara,Çamlýdere,7.0,4.3374586,4,3.0,norm_fazlasi,8457,,306,179.0,24838.0
6,1231,Ankara,Çankaya,30.0,29.888853,30,0.0,dengede,793968,,350,29287.0,103471.0
6,1260,Ankara,Çubuk,16.0,16.174358,16,0.0,dengede,76312,,432,2281.0,391166.0
6,1302,Ankara,Elmadað,8.0,9.262401,9,-1.0,dengede,34727,,412,1216.0,269253.0
6,1922,Ankara,Etimesgut,20.0,16.621754,17,3.0,dengede,457662,,309,10121.0,54703.0
6,1924,Ankara,Evren,3.0,3.5159261,4,-1.0,norm_eksigi,2594,,327,59.0,138526.0
6,1744,Ankara,Gölbaþý,35.0,22.790478,23,12.0,norm_fazlasi,125765,,527,3772.0,824019.0
6,1365,Ankara,Güdül,7.0,7.6653786,8,-1.0,dengede,7683,,328,293.0,288524.0
6,1387,Ankara,Haymana,14.0,11.901847,12,2.0,dengede,22234,,497,517.0,1335507.0
6,1815,Ankara,Kahramankazan,21.0,17.050804,17,4.0,norm_fazlasi,44785,,496,2939.0,261886.0
6,1427,Ankara,Kalecik,9.0,9.106285,9,0.0,dengede,10024,,580,418.0,490129.0
6,1745,Ankara,Keçiören,18.0,18.638014,19,-1.0,dengede,711423,,250,12605.0,25555.0
6,1473,Ankara,Kýzýlcahamam,6.0,7.6566772,8,-2.0,norm_eksigi,24099,,315,800.0,103480.0
6,1746,Ankara,Mamak,14.0,18.854347,19,-5.0,norm_eksigi,519955,,356,8620.0,66781.0
6,1539,Ankara,Nallýhan,7.0,9.570998,10,-3.0,norm_eksigi,19724,,530,808.0,413407.0
