il_kod,ilce_kod,il_adi,ilce_adi,nufus_18plus,yuzolcum,toplam_hayvan_2024,veteriner_hekim,veteriner_tahmini_norm,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu,ziraat_muhendisi,ziraat_tahmini_norm,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
1,1443,Adana,Karataþ,18854,,466,5.0,5.9794426,6,-1.0,dengede,1.0,1.0867728,1,0.0,dengede,14.0,10.17695,10,4.0,norm_fazlasi
1,1486,Adana,Kozan,84549,,625,12.0,11.184434,11,1.0,dengede,3.0,2.7776198,3,0.0,dengede,31.0,25.26998,25,6.0,norm_fazlasi
1,1580,Adana,Pozantý,14190,,252,5.0,3.2174623,3,2.0,norm_fazlasi,1.0,1.3395746,1,0.0,dengede,10.0,5.4638743,5,5.0,norm_fazlasi
1,1588,Adana,Saimbeyli,10432,,335,4.0,3.9826925,4,0.0,dengede,0.0,0.008817762,0,0.0,dengede,3.0,4.70672,5,-2.0,norm_eksigi
1,2032,Adana,Sarýçam,174701,,556,14.0,11.950702,12,2.0,dengede,5.0,4.117328,4,1.0,norm_fazlasi,21.0,23.33617,23,-2.0,dengede
1,1104,Adana,Seyhan,562903,,596,18.0,16.128326,16,2.0,dengede,11.0,11.567038,12,-1.0,dengede,28.0,28.660637,29,-1.0,dengede
1,1687,Adana,Tufanbeyli,8625,,378,3.0,4.790597,5,-2.0,norm_eksigi,0.0,0.020051755,0,0.0,dengede,4.0,7.476772,7,-3.0,norm_eksigi
1,1734,Adana,Yumurtalýk,12084,,469,3.0,4.7049885,5,-2.0,norm_eksigi,1.0,1.2397407,1,0.0,dengede,9.0,8.983218,9,0.0,dengede
1,1748,Adana,Yüreðir,272630,,579,20.0,17.227997,17,3.0,dengede,11.0,7.251827,7,4.0,norm_fazlasi,43.0,28.337612,28,15.0,norm_fazlasi
2,1182,Adýyaman,Besni,38935,,500,9.0,7.062811,7,2.0,norm_fazlasi,1.0,1.4930633,1,0.0,dengede,15.0,13.270163,13,2.0,dengede
2,1246,Adýyaman,Çelikhan,8298,,275,5.0,3.9310055,4,1.0,norm_fazlasi,0.0,0.044661425,0,0.0,dengede,7.0,6.3875713,6,1.0,dengede
2,1347,Adýyaman,Gerger,1961,,394,3.0,2.646684,3,0.0,dengede,0.0,0.0,0,0.0,dengede,3.0,2.3395586,2,1.0,norm_fazlasi
2,1354,Adýyaman,Gölbaþý,26453,,431,7.0,8.648818,9,-2.0,norm_eksigi,1.0,1.4314996,1,0.0,dengede,9.0,11.389857,11,-2.0,dengede
2,1425,Adýyaman,Kahta,61773,,443,11.0,10.285638,10,1.0,dengede,2.0,1.6304762,2,0.0,dengede,20.0,18.354391,18,2.0,dengede
2,1592,Adýyaman,Samsat,2577,,320,3.0,2.372481,2,1.0,norm_fazlasi,0.0,0.0,0,0.0,dengede,6.0,3.3684995,3,3.0,norm_fazlasi
2,1985,Adýyaman,Sincik,5040,,251,4.0,2.711288,3,1.0,norm_fazlasi,0.0,0.0,0,0.0,dengede,5.0,3.8368504,4,1.0,norm_fazlasi
2,1989,Adýyaman,Tut,2619,,397,3.0,3.2554963,3,0.0,dengede,0.0,0.12988594,0,0.0,dengede,6.0,3.7560575,4,2.0,norm_fazlasi
3,1771,Afyonkarahisar,Baþmakçý,3867,,417,5.0,3.5411794,4,1.0,norm_fazlasi,0.0,0.075793356,0,0.0,dengede,4.0,2.9918432,3,1.0,norm_fazlasi
3,1773,Afyonkarahisar,Bayat,3345,,353,4.0,3.076452,3,1.0,norm_fazlasi,0.0,0.0,0,0.0,dengede,2.0,3.750571,4,-2.0,norm_eksigi
3,1200,Afyonkarahisar,Bolvadin,29923,,446,9.0,8.714627,9,0.0,dengede,2.0,1.4265984,1,1.0,norm_fazlasi,8.0,6.4849586,6,2.0,norm_fazlasi
3,1239,Afyonkarahisar,Çay,14898,,543,8.0,9.798719,10,-2.0,norm_eksigi,2.0,1.4019587,1,1.0,norm_fazlasi,8.0,11.37539,11,-3.0,norm_eksigi
3,1906,Afyonkarahisar,Çobanlar,8280,,296,4.0,3.904185,4,0.0,dengede,0.0,0.011041574,0,0.0,dengede,3.0,6.696785,7,-4.0,norm_eksigi
3,1267,Afyonkarahisar,Dazkýrý,4523,,461,5.0,3.6612651,4,1.0,norm_fazlasi,0.0,0.061623096,0,0.0,dengede,6.0,4.6678877,5,1.0,norm_fazlasi
3,1281,Afyonkarahisar,Dinar,24237,,561,8.0,9.213762,9,-1.0,dengede,1.0,1.9072423,2,-1.0,norm_eksigi,10.0,12.245749,12,-2.0,dengede
3,1306,Afyonkarahisar,Emirdað,21281,,373,10.0,7.003227,7,3.0,norm_fazlasi,0.0,0.068378046,0,0.0,dengede,7.0,8.813573,9,-2.0,norm_eksigi
3,1923,Afyonkarahisar,Evciler,2804,,299,4.0,3.0703256,3,1.0,norm_fazlasi,0.0,0.01800754,0,0.0,dengede,4.0,3.9635687,4,0.0,dengede
3,1944,Afyonkarahisar,Hocalar,1701,,306,4.0,2.4572349,2,2.0,norm_fazlasi,0.0,0.0034085587,0,0.0,dengede,4.0,3.4555657,3,1.0,norm_fazlasi
3,1404,Afyonkarahisar,Ýhsaniye,12403,,376,6.0,7.8924685,8,-2.0,norm_eksigi,0.0,0.06233385,0,0.0,dengede,5.0,7.906457,8,-3.0,norm_eksigi
3,1809,Afyonkarahisar,Ýscehisar,10320,,295,4.0,4.9079313,5,-1.0,norm_eksigi,1.0,0.7900142,1,0.0,dengede,4.0,5.5768495,6,-2.0,norm_eksigi
