il_adi,ilce_adi,veteriner_hekim,veteriner_tahmini_norm,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu
Manisa,Akhisar,15.0,11.10951202977941,11.0,3.8904879702205903,norm_fazlasi
Tokat,Erbaa,13.0,9.109956058213495,9.0,3.890043941786505,norm_fazlasi
Denizli,Acýpayam,14.0,10.158733122438658,10.0,3.841266877561342,norm_fazlasi
Çanakkale,Çan,12.0,8.160221050649394,8.0,3.839778949350606,norm_fazlasi
Manisa,Turgutlu,13.0,9.172787937269945,9.0,3.827212062730055,norm_fazlasi
Diyarbakýr,Kayapýnar,12.0,8.260975545055471,8.0,3.739024454944529,norm_fazlasi
Muðla,Milas,19.0,15.272910049106496,15.0,3.727089950893504,norm_fazlasi
Samsun,Çarþamba,13.0,9.278154606075917,9.0,3.7218453939240828,norm_fazlasi
Þanlýurfa,Hilvan,12.0,8.335361600477874,8.0,3.6646383995221257,norm_fazlasi
Amasya,Merzifon,13.0,9.33949994857166,9.0,3.6605000514283397,norm_fazlasi
Adana,Sarýçam,14.0,10.38032954646003,10.0,3.6196704535399693,norm_fazlasi
Bursa,Nilüfer,17.0,13.402951424993226,13.0,3.5970485750067738,norm_fazlasi
Ýzmir,Seferihisar,10.0,6.421336118745189,6.0,3.578663881254811,norm_fazlasi
Antalya,Kaþ,10.0,6.438622890692538,6.0,3.561377109307462,norm_fazlasi
Ankara,Gölbaþý,16.0,12.451246454917037,12.0,3.5487535450829633,norm_fazlasi
Bolu,Mudurnu,9.0,5.462153968195883,5.0,3.5378460318041167,norm_fazlasi
Samsun,Atakum,11.0,7.473032195083498,7.0,3.5269678049165023,norm_fazlasi
Antalya,Serik,14.0,10.520107361565268,11.0,3.479892638434732,norm_fazlasi
Balýkesir,Susurluk,12.0,8.522761475385266,9.0,3.4772385246147337,norm_fazlasi
Mardin,Midyat,10.0,6.556029395567259,7.0,3.4439706044327414,norm_fazlasi
Burdur,Bucak,13.0,9.556494225152047,10.0,3.443505774847953,norm_fazlasi
Hatay,Arsuz,11.0,7.58745681755934,8.0,3.4125431824406602,norm_fazlasi
Balýkesir,Havran,9.0,5.616045215391475,6.0,3.383954784608525,norm_fazlasi
Giresun,Bulancak,9.0,5.637671026136548,6.0,3.362328973863452,norm_fazlasi
Samsun,Tekkeköy,10.0,6.653856695670637,7.0,3.346143304329363,norm_fazlasi
Manisa,Alaþehir,12.0,8.723634043911728,9.0,3.276365956088272,norm_fazlasi
Kayseri,Develi,13.0,9.734633642482681,10.0,3.265366357517319,norm_fazlasi
Kilis,Polateli,4.0,0.7387764366774769,1.0,3.261223563322523,norm_fazlasi
Isparta,Eðirdir,9.0,5.769927399171948,6.0,3.230072600828052,norm_fazlasi
Þanlýurfa,Siverek,20.0,16.810626330801586,17.0,3.189373669198414,dengede
Antalya,Kumluca,9.0,5.822168794709271,6.0,3.1778312052907287,norm_fazlasi
