il_adi,ilce_adi,ziraat_muhendisi,ziraat_tahmini_norm,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
Ýzmir,Çiðli,17.0,8.94810318154752,9.0,8.05189681845248,norm_fazlasi
Konya,Çumra,23.0,15.061770593929278,15.0,7.938229406070722,norm_fazlasi
Hatay,Dörtyol,17.0,9.081471685599892,9.0,7.918528314400108,norm_fazlasi
Malatya,Yeþilyurt,21.0,13.159018549596393,13.0,7.840981450403607,norm_fazlasi
Manisa,Turgutlu,20.0,12.31965292235742,12.0,7.68034707764258,norm_fazlasi
Þýrnak,Cizre,17.0,9.415170435441425,9.0,7.584829564558575,norm_fazlasi
Diyarbakýr,Eðil,14.0,6.572409212988375,7.0,7.427590787011625,norm_fazlasi
Çanakkale,Biga,22.0,14.57868937407088,15.0,7.42131062592912,norm_fazlasi
Ankara,Pursaklar,17.0,9.619250487585727,10.0,7.380749512414273,norm_fazlasi
Adana,Sarýçam,21.0,13.651118758938779,14.0,7.348881241061221,norm_fazlasi
Ankara,Yenimahalle,25.0,17.682800989720775,18.0,7.317199010279225,norm_fazlasi
Antalya,Demre,14.0,6.693403655708083,7.0,7.306596344291917,norm_fazlasi
Muðla,Ortaca,17.0,9.703635810454037,10.0,7.296364189545963,norm_fazlasi
Trabzon,Ortahisar,18.0,10.759021306795576,11.0,7.240978693204424,norm_fazlasi
Ýstanbul,Büyükçekmece,16.0,8.79580995872395,9.0,7.20419004127605,norm_fazlasi
Balýkesir,Bandýrma,20.0,12.919817547257994,13.0,7.080182452742006,norm_fazlasi
Ýzmir,Tire,19.0,11.943370277506888,12.0,7.056629722493112,norm_fazlasi
Mersin,Anamur,16.0,8.967181642536243,9.0,7.032818357463757,norm_fazlasi
Diyarbakýr,Ergani,19.0,11.970941921716744,12.0,7.029058078283256,norm_fazlasi
Mardin,Nusaybin,17.0,10.143547146642174,10.0,6.856452853357826,norm_fazlasi
Ankara,Kahramankazan,21.0,14.210066201174115,14.0,6.789933798825885,norm_fazlasi
Ýstanbul,Silivri,20.0,13.261488652691803,13.0,6.738511347308197,norm_fazlasi
Ankara,Sincan,25.0,18.297886457489895,18.0,6.702113542510105,norm_fazlasi
Gaziantep,Þahinbey,25.0,18.348332826374854,18.0,6.651667173625146,norm_fazlasi
Balýkesir,Altýeylül,21.0,14.391227276147603,14.0,6.608772723852397,norm_fazlasi
Mersin,Bozyazý,15.0,8.419524510211076,8.0,6.580475489788924,norm_fazlasi
Ýstanbul,Baþakþehir,18.0,11.570064785474731,12.0,6.429935214525269,norm_fazlasi
Adana,Ýmamoðlu,16.0,9.574950625129995,10.0,6.425049374870005,norm_fazlasi
Ýzmir,Aliaða,15.0,8.591900170595745,9.0,6.4080998294042555,norm_fazlasi
Ankara,Akyurt,16.0,9.62213390731532,10.0,6.37786609268468,norm_fazlasi
Samsun,Kavak,14.0,7.677472946038828,8.0,6.322527053961172,norm_fazlasi
Ýzmir,Menderes,18.0,11.752199455663778,12.0,6.247800544336222,norm_fazlasi
Adana,Ceyhan,21.0,14.875559363210392,15.0,6.124440636789608,norm_fazlasi
Ýstanbul,Çatalca,17.0,10.924561675360163,11.0,6.075438324639837,norm_fazlasi
Tekirdað,Süleymanpaþa,21.0,14.9618837673368,15.0,6.038116232663199,norm_fazlasi
Bursa,Mustafakemalpaþa,20.0,13.9757421124541,14.0,6.0242578875459,norm_fazlasi
Balýkesir,Edremit,16.0,10.016770770306584,10.0,5.983229229693416,norm_fazlasi
Giresun,Bulancak,14.0,8.049202728744417,8.0,5.950797271255583,norm_fazlasi
Antalya,Elmalý,17.0,11.052030822370295,11.0,5.947969177629705,norm_fazlasi
Bitlis,Tatvan,14.0,8.069087292315276,8.0,5.930912707684724,norm_fazlasi
Tokat,Erbaa,18.0,12.09810003152747,12.0,5.901899968472531,norm_fazlasi
Erzurum,Yakutiye,17.0,11.121500053600586,11.0,5.878499946399414,norm_fazlasi
Antalya,Kaþ,15.0,9.174960735227115,9.0,5.825039264772885,norm_fazlasi
Gaziantep,Oðuzeli,16.0,10.263613681034133,10.0,5.736386318965867,norm_fazlasi
Siirt,Kurtalan,14.0,8.47499643130626,8.0,5.525003568693741,norm_fazlasi
Aydýn,Didim,16.0,10.663571565857904,11.0,5.336428434142096,norm_fazlasi
Samsun,Ýlkadým,17.0,11.719432269954616,12.0,5.280567730045384,norm_fazlasi
Muðla,Menteþe,18.0,12.812256275007627,13.0,5.187743724992373,norm_fazlasi
Gaziantep,Þehitkamil,23.0,17.862374522962096,18.0,5.137625477037904,norm_fazlasi
Van,Edremit,14.0,8.870350997341216,9.0,5.129649002658784,norm_fazlasi
Þanlýurfa,Hilvan,16.0,10.918932628512966,11.0,5.081067371487034,norm_fazlasi
Ankara,Etimesgut,20.0,15.009899829718435,15.0,4.990100170281565,norm_fazlasi
Çanakkale,Lapseki,16.0,11.033651367864884,11.0,4.966348632135116,norm_fazlasi
Denizli,Sarayköy,14.0,9.038044251870629,9.0,4.9619557481293715,norm_fazlasi
Mardin,Derik,16.0,11.039102518390411,11.0,4.960897481609589,norm_fazlasi
Batman,Beþiri,13.0,8.03956200174897,8.0,4.960437998251029,norm_fazlasi
Gaziantep,Nizip,17.0,12.058183487868803,12.0,4.941816512131197,norm_fazlasi
Aydýn,Nazilli,18.0,13.100890578113475,13.0,4.899109421886525,norm_fazlasi
Þanlýurfa,Bozova,15.0,10.128159470464697,10.0,4.871840529535303,norm_fazlasi
Aydýn,Sultanhisar,14.0,9.152070242202306,9.0,4.847929757797694,norm_fazlasi
Ýzmir,Gaziemir,13.0,8.241176666433596,8.0,4.758823333566404,norm_fazlasi
Ýzmir,Seferihisar,14.0,9.25574959290443,9.0,4.744250407095571,norm_fazlasi
Ýzmir,Balçova,12.0,7.261233584634631,7.0,4.738766415365369,norm_fazlasi
Eskiþehir,Tepebaþý,22.0,17.39987982096982,17.0,4.600120179030181,norm_fazlasi
Van,Gevaþ,12.0,7.405205270325364,7.0,4.594794729674636,norm_fazlasi
Konya,Seydiþehir,16.0,11.409246395453287,11.0,4.5907536045467126,norm_fazlasi
Mersin,Yeniþehir,15.0,10.417087470747633,10.0,4.582912529252367,norm_fazlasi
Hatay,Ýskenderun,14.0,9.46554407558182,9.0,4.534455924418181,norm_fazlasi
Kahramanmaraþ,Göksun,14.0,9.559613105394051,10.0,4.440386894605949,norm_fazlasi
Antalya,Konyaaltý,15.0,10.56943251948758,11.0,4.430567480512421,norm_fazlasi
Antalya,Döþemealtý,16.0,11.593159870609272,12.0,4.406840129390728,norm_fazlasi
Malatya,Akçadað,14.0,9.642020810926049,10.0,4.357979189073951,norm_fazlasi
Trabzon,Yomra,11.0,6.642218874024358,7.0,4.357781125975642,norm_fazlasi
Mardin,Mazýdaðý,12.0,7.654699182130809,8.0,4.345300817869191,norm_fazlasi
Aydýn,Kuþadasý,14.0,9.657671175167316,10.0,4.342328824832684,norm_fazlasi
Konya,Ereðli,22.0,17.66393260630854,18.0,4.3360673936914615,norm_fazlasi
Diyarbakýr,Kocaköy,11.0,6.701083954042847,7.0,4.298916045957153,norm_fazlasi
Ankara,Çubuk,16.0,11.799647174705477,12.0,4.200352825294523,norm_fazlasi
Bursa,Kestel,15.0,10.831642769448568,11.0,4.1683572305514325,norm_fazlasi
Tokat,Turhal,16.0,11.840011697913376,12.0,4.159988302086624,norm_fazlasi
