il_adi,ilce_adi,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu
Muðla,Fethiye,8.0,6.691551008062406,7.0,1.3084489919375937,dengede
Diyarbakýr,Sur,4.0,2.7217035147017583,3.0,1.2782964852982417,norm_fazlasi
Manisa,Yunusemre,6.0,4.725810491928455,5.0,1.2741895080715446,norm_fazlasi
Þanlýurfa,Karaköprü,5.0,3.7331303599697767,4.0,1.2668696400302233,norm_fazlasi
Aydýn,Kuþadasý,5.0,3.744861294423238,4.0,1.255138705576762,norm_fazlasi
Çanakkale,Eceabat,2.0,0.7511097034679746,1.0,1.2488902965320254,norm_fazlasi
Ýstanbul,Ataþehir,8.0,6.767687111868703,7.0,1.2323128881312968,dengede
Manisa,Turgutlu,5.0,3.7745519814585227,4.0,1.2254480185414773,norm_fazlasi
Mersin,Erdemli,6.0,4.777026662363815,5.0,1.2229733376361853,norm_fazlasi
Ýstanbul,Tuzla,6.0,4.778486194024975,5.0,1.2215138059750252,norm_fazlasi
Ýstanbul,Çatalca,4.0,2.783525204597057,3.0,1.216474795402943,norm_fazlasi
Muðla,Milas,6.0,4.789560472422163,5.0,1.2104395275778366,norm_fazlasi
Ýstanbul,Kaðýthane,8.0,6.828572095237745,7.0,1.171427904762255,dengede
Sakarya,Erenler,4.0,2.8407034442765555,3.0,1.1592965557234445,norm_fazlasi
Bursa,Ýnegöl,7.0,5.887597815475651,6.0,1.112402184524349,dengede
Ýzmir,Konak,11.0,9.95459425621128,10.0,1.04540574378872,dengede
Kocaeli,Körfez,4.0,2.9739108502307783,3.0,1.0260891497692217,norm_fazlasi
Antalya,Finike,3.0,1.9762008975287324,2.0,1.0237991024712676,norm_fazlasi
Konya,Meram,7.0,6.006598396842067,6.0,0.9934016031579329,dengede
Ankara,Akyurt,3.0,2.034217725972165,2.0,0.965782274027835,dengede
Giresun,Dereli,2.0,1.0358084242854333,1.0,0.9641915757145667,dengede
Samsun,Ýlkadým,7.0,6.04753923756609,6.0,0.9524607624339101,dengede
Trabzon,Ortahisar,6.0,5.052760002124127,5.0,0.9472399978758732,dengede
Kýrklareli,Babaeski,3.0,2.0595221207864123,2.0,0.9404778792135877,dengede
Kocaeli,Gebze,6.0,5.108619478500447,5.0,0.8913805214995527,dengede
Mersin,Mezitli,5.0,4.1225260887115205,4.0,0.8774739112884795,dengede
Ankara,Elmadað,3.0,2.146639599730462,2.0,0.8533604002695379,dengede
