"il_kod","ilce_kod","islem_adeti","islem_suresi"
"28","1465",16685,8988
"48","2090",17072,10847
"20","1233",4107,2482
"34","2014",945,349
"55","1164",65754,30123
"43","1802",3471,2352
"63","1630",42331,163421
"35","1467",8179,6057
"47","1547",34881,18052
"38","1330",12063,7805
"21","1249",5812,3207
"62","1518",14472,7447
"61","1681",3731,1945
"12","1996",7161,6107
"53","1146",27871,14426
"29","1971",5447,3068
"31","2082",3381,2364
"6","1130",7013,4719
"57","1156",1943,2063
"43","1898",23152,12742
"10","1824",3440,2499
"24","1459",1106,660
"19","1976",3436,1718
"20","1224",13735,10846
"29","1822",3243,3458
"44","1286",8121,19553
"61","1150",15501,9335
"48","1695",10809,4847
"17","1293",5681,3043
"47","1526",25176,16739
"59","1258",15193,17149
"54","2070",5793,3060
"41","2060",373,373
"51","1225",41262,25118
"34","1327",21642,8587
"27","1841",20013,14485
"11","1636",3367,3490
"50","1707",8939,5286
"19","1558",29020,10872
"79","2023",8861,4980
"15","1672",7247,3866
"32","1297",18253,8510
"45","1470",11968,5740
"1","1219",72488,35860
"34","1325",3398,2973
"41","1355",1749,1012
"42","1735",169420,120483
"6","1922",1684,1199
"3","1906",11012,8621
"75","2008",22957,11851
"6","1578",25537,14659
"76","2011",30636,17743
"6","1227",1956,2099
"16","1411",23590,15707
"31","1585",15945,8872
"43","1132",10489,5849
"11","1948",2558,2321
"58","1376",8168,4868
"77","2026",486,769
"35","1819",347,344
"21","1315",93589,49583
"37","1221",9011,3799
"9","1497",3922,2900
"45","1634",9915,7765
"34","1183",2536,1259
"50","1749",4924,2993
"42","1441",48322,34591
"48","1266",2178,1677
"25","1674",10992,5017
"34","2053",644,564
"75","1252",8554,4078
"57","1204",3371,13553
"34","1823",1601,825
"25","1812",4699,2690
"20","1597",14046,9359
"32","1929",3654,2027
"81","1730",23113,13502
"61","1775",10872,5824
"50","1155",7856,4431
"45","1600",28276,23806
"27","1139",32919,23424
"34","1237",10014,8889
"1","1687",28687,23701
"36","1424",15179,7559
"47","2088",14322,9715
"3","1639",20506,13681
"10","2077",11362,7881
"42","1207",14541,43159
"10","1216",6280,3684
"78","1856",1245,1193
"10","1294",9609,5804
"4","1379",12282,8355
"4","1301",16617,10171
"57","1981",844,461
"80","2029",8159,5008
"35","1682",22360,16119
"54","1391",21808,15549
"73","1189",3490,1635
"53","1569",6789,4268
"37","1984",6679,4879
"55","2073",7744,6686
"9","1968",7460,5063
"28","1654",5445,2517
"34","1708",118,59
"20","1371",6426,4211
"72","1345",4812,3561
"7","1811",794550,400306
"36","1149",14156,6437
"16","1343",23420,13443
"43","1339",12040,6253
"33","1779",7492,4392
"12","1855",655,775
"34","1739",1324,440
"73","1623",10606,5434
"67","2100",1275,847
"71","1268",22316,12154
"60","1151",5377,2586
"37","1666",21890,74114
"36","1645",33614,14821
"15","1109",6358,6114
"3","1267",9999,6575
"58","1875",8763,6907
"53","1908",2401,2961
"43","1764",13612,6533
"34","1810",653,766
"74","1701",9132,4554
"76","1692",7790,4780
"10","1291",10598,5723
"42","1262",32537,19219
"35","1776",8393,4932
"62","1541",2252,2455
"34","1166",267,136
"42","1598",34445,21481
"35","2006",2325,1867
"50","1374",10812,6149
"58","1407",4986,3909
"6","1745",1432,874
"38","1978",2925,2236
"59","2095",6452,5746
"81","2031",4387,2560
"13","1669",7562,3667
"25","1540",6565,3934
"59","1538",21120,22333
"36","1614",11505,8777
"20","1226",11101,8397
"73","1698",1270,2363
"3","1200",12290,9282
"75","1579",2054,2632
"66","1982",3788,1679
"2","1985",11831,10067
"27","1549",13422,8866
"14","1364",12062,6168
"60","1830",184,368
"7","1959",2679,1702
"65","1980",8249,4893
"6","1187",19003,15464
"69","1788",10940,6638
"61","1141",24417,12608
"26","1777",7238,3959
"25","1851",2533,2713
"35","1703",18670,12270
"45","1965",37994,27254
"23","1873",1131,639
"70","1316",18304,10628
"7","2039",3245,1938
"34","2005",219,73
"4","1283",22079,9926
"32","1154",2947,1765
"11","1559",4857,3070
"60","1584",2582,1680
"23","1455",2944,2747
"16","1829",24527,14541
"32","1699",11406,5294
"1","1486",277815,105917
"18","1765",3912,3370
"19","1177",17472,7163
"16","1457",5465,3219
"17","1503",34573,21496
"47","1519",14726,7396
"67","1313",35753,22988
"26","1632",31451,25388
"54","1986",6113,3540
"2","1246",9231,18044
"33","1311",15562,9050
"6","2034",2209,1287
"1","1443",26921,14099
"31","1468",25909,18112
"24","1977",710,451
"44","1914",1961,1224
"38","1752",2396,1376
"6","1260",9900,4732
"20","1881",9902,8507
"55","1838",14703,8432
"3","1404",27898,13567
"37","1867",1592,1202
"6","1387",28760,15845
"71","1992",3301,2200
"33","1366",8446,4487
"22","1523",6964,3934
"64","1436",4345,3175
"31","1289",24039,15878
"44","1729",11201,6353
"35","1611",10491,8379
"65","2099",8742,5655
"66","1198",17045,10784
"44","1143",4453,2793
"52","1797",19454,9591
"53","1796",3990,3014
"60","1740",20254,10374
"23","1762",2365,1992
"72","1184",6800,4333
"5","1368",10559,6342
"6","1747",11017,9902
"75","1380",31712,16250
"1","1748",24986,12738
"3","1306",49341,79164
"46","1919",7762,3685
"34","2052",3000,2003
"40","1890",12377,7358
"34","2010",4899,2542
"1","2032",54443,25900
"34","2012",1006,722
"26","2047",19274,8642
"58","1373",11986,8641
"66","1655",8954,4661
"26","1255",15912,10186
"43","1979",8319,4575
"28","1678",22097,11465
"22","1464",15738,9314
"16","1832",6007,4492
"15","1357",11227,5224
"34","1835",10686,21452
"45","1489",24823,12511
"53","1943",1027,588
"22","1307",22912,9869
"57","1349",3891,15176
"44","1390",12215,9900
"37","1238",1601,1322
"27","1720",23685,28844
"6","1473",3177,2238
"73","1403",11808,5977
"1","1806",49543,22411
"9","1807",19726,10081
"10","1514",24893,18243
"25","1945",23897,16235
"28","1930",7722,4187
"25","1153",9971,5593
"30","1656",17819,11335
"52","1947",19081,8994
"52","1696",21323,11291
"9","1479",17691,10544
"42","1920",13956,8286
"62","1581",3349,2853
"61","1244",6439,3238
"62","1574",4234,6004
"32","1341",25394,20178
"38","1846",3717,2945
"19","1972",8045,5992
"26","1599",5834,4192
"58","1731",44505,31086
"61","1909",2735,1601
"34","1659",9688,8646
"44","1953",2318,1254
"6","1157",8261,5527
"34","1421",631,681
"64","1697",5522,3383
"51","1876",4098,2152
"8","1828",6339,5059
"26","1759",20781,10593
"26","1934",5492,4145
"46","1353",9080,6101
"39","1714",6057,3735
"15","1728",11051,6228
"42","1122",25079,12401
"40","1869",6665,3824
"43","1671",16857,8152
"59","1511",39063,36366
"42","1937",15665,9547
"12","1750",5921,2744
"46","1785",6114,3531
"52","1950",9817,6302
"26","1973",205451,102732
"77","2021",2965,5279
"55","1125",12910,7890
"61","2097",38361,25710
"5","1363",7471,6213
"40","1254",36931,26924
"19","1642",27075,17872
"68","1557",7048,3668
"65","1770",3467,2717
"41","2058",1646,1053
"35","1448",741,740
"68","1866",1271,702
"24","1243",9540,4781
"34","1663",104,149
"56","1317",2902,1894
"48","1517",3529,1974
"71","1880",4175,2369
"81","1905",5191,3175
"7","2037",7510,5043
"1","1734",10022,6664
"37","1940",1757,1199
"35","2009",23868,16516
"62","1397",3688,2122
"44","1148",9204,6624
"20","1889",12175,7560
"20","1257",24639,16470
"13","1106",10692,5671
"41","1440",6254,3966
"66","1952",11967,6011
"15","1813",3806,2402
"9","1542",18348,12028
"43","1625",8630,4201
"6","1815",57905,27303
"37","1140",2955,1922
"71","1954",6175,2627
"49","1213",19494,11629
"16","1530",9834,7172
"65","1918",5017,15179
"25","2044",6506,3918
"61","1842",7725,3918
"28","1912",6011,3322
"21","2043",28814,16541
"29","1660",5515,4241
"48","1488",6754,3519
"38","1680",12442,15254
"49","1510",29178,13489
"64","1170",19064,11905
"58","1282",1212,679
"52","1706",37266,19115
"45","1606",34677,24485
"16","1420",10999,9572
"43","1843",3446,2799
"25","1396",11518,6679
"58","1738",14939,7809
"26","1618",29838,24926
"9","1498",19042,142999
"20","1774",3313,2244
"48","1197",3118,2743
"17","1190",69550,34239
"54","2068",10976,5417
"36","1756",18735,9738
"45","1127",28502,21188
"2","1592",5920,5277
"55","1879",24646,12535
"48","1831",9976,6613
"18","1399",3676,2248
"34","2050",719,568
"56","1179",2160,1596
"44","1772",20940,11916
"31","1131",27683,14878
"35","2013",245,482
"60","1987",16409,11196
"52","1482",21204,10668
"6","1302",6046,3185
