il_adi,ilce_adi,il_ilce,y2020,y2021,y2022,y2023,y2024,il_kod,ilce_kod
Erzurum,Aziziye,Erzurum Aziziye,276963,279248,257429,287204,287291,25,1945
Erzurum,Aþkale,Erzurum Aþkale,250986,222090,234701,207976,212157,25,1153
Erzurum,Horasan,Erzurum Horasan,618530,617599,667934,675588,664117,25,1396
Erzurum,Hýnýs,Erzurum Hýnýs,201729,198713,264799,200587,264922,25,1392
Erzurum,Karayazý,Erzurum Karayazý,167812,172583,406539,403004,417575,25,1444
Erzurum,Karaçoban,Erzurum Karaçoban,126810,126047,155113,141484,157096,25,1812
Erzurum,Köprüköy,Erzurum Köprüköy,197495,194200,239219,246534,267861,25,1967
Erzurum,Narman,Erzurum Narman,203011,203671,227971,228262,233031,25,1540
Erzurum,Oltu,Erzurum Oltu,95344,98860,116660,100923,104361,25,1550
Erzurum,Olur,Erzurum Olur,24237,24997,38117,39975,39294,25,1551
Erzurum,Palandöken,Erzurum Palandöken,89919,91224,151312,151341,151343,25,2044
Erzurum,Pasinler,Erzurum Pasinler,299669,307118,367923,367617,343870,25,1567
Erzurum,Pazaryolu,Erzurum Pazaryolu,84820,86122,53999,54701,23969,25,1865
Erzurum,Tekman,Erzurum Tekman,118152,116995,185936,194047,221904,25,1674
Erzurum,Tortum,Erzurum Tortum,146556,149323,168240,156905,167586,25,1683
Erzurum,Uzundere,Erzurum Uzundere,42551,43164,43162,31850,32136,25,1851
Erzurum,Yakutiye,Erzurum Yakutiye,139733,141735,162029,201431,197024,25,2045
Erzurum,Çat,Erzurum Çat,135618,138043,175466,190132,199302,25,1235
Erzurum,Ýspir,Erzurum Ýspir,86290,86962,89094,88716,90620,25,1416
Erzurum,Þenkaya,Erzurum Þenkaya,164175,162518,189186,154378,139856,25,1657
Eskiþehir,Alpu,Eskiþehir Alpu,441023,452259,432825,422253,438429,26,1759
Eskiþehir,Beylikova,Eskiþehir Beylikova,313038,305855,306601,307595,307824,26,1777
Eskiþehir,Günyüzü,Eskiþehir Günyüzü,270159,266777,271881,267599,266689,26,1934
Eskiþehir,Han,Eskiþehir Han,76635,72686,74468,74298,75718,26,1939
Eskiþehir,Mahmudiye,Eskiþehir Mahmudiye,416789,421814,408465,407721,424255,26,1508
Eskiþehir,Mihalgazi,Eskiþehir Mihalgazi,4282,4021,4470,4289,4284,26,1973
Eskiþehir,Mihalýççýk,Eskiþehir Mihalýççýk,379834,377134,377828,378277,378276,26,1527
Eskiþehir,Odunpazarý,Eskiþehir Odunpazarý,451027,452219,451630,447128,452845,26,2046
Eskiþehir,Sarýcakaya,Eskiþehir Sarýcakaya,27954,22694,23426,23936,23192,26,1599
Eskiþehir,Seyitgazi,Eskiþehir Seyitgazi,590711,595169,589231,584346,589977,26,1618
Eskiþehir,Sivrihisar,Eskiþehir Sivrihisar,1395911,1364240,1338480,1306943,1392472,26,1632
Eskiþehir,Tepebaþý,Eskiþehir Tepebaþý,475972,477294,476426,474737,486098,26,2047
Eskiþehir,Çifteler,Eskiþehir Çifteler,596082,593076,575113,566816,598849,26,1255
Eskiþehir,Ýnönü,Eskiþehir Ýnönü,146191,146232,147183,147180,147183,26,1808
Gaziantep,Araban,Gaziantep Araban,311881,299142,302052,302053,302053,27,1139
Gaziantep,Karkamýþ,Gaziantep Karkamýþ,251263,251404,251404,251404,251404,27,1956
Gaziantep,Nizip,Gaziantep Nizip,702696,703914,703914,703873,703869,27,1546
Gaziantep,Nurdaðý,Gaziantep Nurdaðý,236776,237607,239568,242123,239103,27,1974
Gaziantep,Oðuzeli,Gaziantep Oðuzeli,566667,561413,561993,561942,561942,27,1549
Gaziantep,Yavuzeli,Gaziantep Yavuzeli,208756,208449,206498,206499,206499,27,1720
Gaziantep,Ýslahiye,Gaziantep Ýslahiye,256744,253822,255958,254343,253173,27,1415
Gaziantep,Þahinbey,Gaziantep Þahinbey,499667,497673,497653,497743,497747,27,1841
Gaziantep,Þehitkamil,Gaziantep Þehitkamil,454260,452760,448127,448107,448257,27,1844
Giresun,Alucra,Giresun Alucra,21765,17459,14583,15548,50650,28,1133
Giresun,Bulancak,Giresun Bulancak,164585,164381,163204,163215,163229,28,1212
Giresun,Dereli,Giresun Dereli,82844,81654,80331,80335,79266,28,1272
Giresun,Doðankent,Giresun Doðankent,28106,28269,28269,28269,28310,28,1912
Giresun,Espiye,Giresun Espiye,115255,114411,115478,115491,115489,28,1320
Giresun,Eynesil,Giresun Eynesil,35918,35942,35991,35991,36014,28,1324
Giresun,Görele,Giresun Görele,102248,102459,102561,102616,102636,28,1361
Giresun,Güce,Giresun Güce,37790,37790,38594,38598,38502,28,1930
Giresun,Keþap,Giresun Keþap,105318,105333,106071,105693,105972,28,1465
Giresun,Merkez,Giresun Merkez,205428,205222,205165,205049,204994,28,1352
Giresun,Piraziz,Giresun Piraziz,89412,89264,89266,89200,89202,28,1837
Giresun,Tirebolu,Giresun Tirebolu,183833,184668,180455,180595,180596,28,1678
Giresun,Yaðlýdere,Giresun Yaðlýdere,74048,73773,72941,72942,72594,28,1854
Giresun,Çamoluk,Giresun Çamoluk,17715,17870,18488,16872,37938,28,1893
Giresun,Çanakçý,Giresun Çanakçý,28963,29102,29507,29563,29662,28,1894
Giresun,Þebinkarahisar,Giresun Þebinkarahisar,247916,249547,252929,134000,197847,28,1654
Gümüþhane,Kelkit,Gümüþhane Kelkit,371255,425914,426424,428176,459911,29,1458
Gümüþhane,Köse,Gümüþhane Köse,117767,117571,173168,162347,157462,29,1822
Gümüþhane,Kürtün,Gümüþhane Kürtün,28066,29791,28761,28228,29630,29,1971
Gümüþhane,Merkez,Gümüþhane Merkez,119131,116306,120006,109377,227807,29,1369
Gümüþhane,Torul,Gümüþhane Torul,27408,25305,22240,16781,42236,29,1684
Gümüþhane,Þiran,Gümüþhane Þiran,184366,179112,180090,185756,241950,29,1660
Hakkari,Derecik,Hakkari Derecik,31729,26194,8021,7377,7385,30,2107
Hakkari,Merkez,Hakkari Merkez,87981,95141,107327,119556,91031,30,1377
Hakkari,Yüksekova,Hakkari Yüksekova,250902,257105,252901,230503,246308,30,1737
Hakkari,Çukurca,Hakkari Çukurca,14019,12422,12722,6601,6632,30,1261
Hakkari,Þemdinli,Hakkari Þemdinli,46181,53437,46512,69844,70324,30,1656
Hatay,Altýnözü,Hatay Altýnözü,333017,330259,328450,327500,329450,31,1131
Hatay,Antakya,Hatay Antakya,297883,291010,314023,319449,262733,31,2080
Hatay,Arsuz,Hatay Arsuz,162500,166574,183716,197990,204982,31,2081
Hatay,Belen,Hatay Belen,28697,30526,32299,34820,34425,31,1887
Hatay,Defne,Hatay Defne,42324,42697,42989,42383,40530,31,2082
Hatay,Dörtyol,Hatay Dörtyol,120745,120848,120848,121348,121512,31,1289
Hatay,Erzin,Hatay Erzin,134390,151413,151609,157051,157114,31,1792
Hatay,Hassa,Hatay Hassa,137774,140935,141960,141924,141924,31,1382
Hatay,Kumlu,Hatay Kumlu,103149,103967,113503,108629,109618,31,1970
Hatay,Kýrýkhan,Hatay Kýrýkhan,355005,420230,386838,412985,379209,31,1468
Hatay,Payas,Hatay Payas,5392,5442,5442,5442,5442,31,2083
Hatay,Reyhanlý,Hatay Reyhanlý,266111,267122,260950,265896,264230,31,1585
Hatay,Samandað,Hatay Samandað,114319,112752,112714,105963,106363,31,1591
Hatay,Yayladaðý,Hatay Yayladaðý,147201,148717,149458,149411,148806,31,1721
Hatay,Ýskenderun,Hatay Ýskenderun,19841,20017,20035,20035,19674,31,1413
Isparta,Aksu,Isparta Aksu,37549,59611,59619,59615,59584,32,1755
Isparta,Atabey,Isparta Atabey,61790,65586,63705,63749,62253,32,1154
Isparta,Eðirdir,Isparta Eðirdir,97079,145343,145341,145274,145274,32,1297
Isparta,Gelendost,Isparta Gelendost,186378,189521,188786,188780,190220,32,1341
Isparta,Gönen,Isparta Gönen,152205,128082,125384,124449,122990,32,1929
Isparta,Keçiborlu,Isparta Keçiborlu,160991,132283,132545,132532,132259,32,1456
Isparta,Merkez,Isparta Merkez,145657,150732,150666,152092,150581,32,1401
Isparta,Senirkent,Isparta Senirkent,142343,140794,131034,131783,122938,32,1615
Isparta,Sütçüler,Isparta Sütçüler,41234,88088,87359,87174,87130,32,1648
Isparta,Uluborlu,Isparta Uluborlu,37069,37536,38069,38512,38017,32,1699
Isparta,Yalvaç,Isparta Yalvaç,555501,555932,556515,556174,554899,32,1717
Isparta,Yeniþarbademli,Isparta Yeniþarbademli,12773,6891,5988,5988,5988,32,2001
Isparta,Þarkikaraaðaç,Isparta Þarkikaraaðaç,329750,239583,235476,227528,250266,32,1651
Iðdýr,Aralýk,Iðdýr Aralýk,283221,327704,321690,298120,281596,76,1142
Iðdýr,Karakoyunlu,Iðdýr Karakoyunlu,95391,132534,133442,135446,137473,76,2011
Iðdýr,Merkez,Iðdýr Merkez,285669,284466,387409,330444,334118,76,1398
Iðdýr,Tuzluca,Iðdýr Tuzluca,308078,305880,299886,292988,293288,76,1692
Kahramanmaraþ,Afþin,Kahramanmaraþ Afþin,642292,639485,640250,639827,640415,46,1107
Kahramanmaraþ,Andýrýn,Kahramanmaraþ Andýrýn,207291,206722,205822,213290,213231,46,1136
Kahramanmaraþ,Dulkadiroðlu,Kahramanmaraþ Dulkadiroðlu,323855,262421,286145,271517,247401,46,2084
Kahramanmaraþ,Ekinözü,Kahramanmaraþ Ekinözü,53164,53253,53422,50816,51786,46,1919
Kahramanmaraþ,Elbistan,Kahramanmaraþ Elbistan,938305,933138,933966,971276,972327,46,1299
Kahramanmaraþ,Göksun,Kahramanmaraþ Göksun,431169,428689,429257,427972,249948,46,1353
Kahramanmaraþ,Nurhak,Kahramanmaraþ Nurhak,32312,33797,35019,33900,34233,46,1975
Kahramanmaraþ,Onikiþubat,Kahramanmaraþ Onikiþubat,327150,319769,308009,281541,278368,46,2085
Kahramanmaraþ,Pazarcýk,Kahramanmaraþ Pazarcýk,367816,359966,372725,399583,332196,46,1570
Kahramanmaraþ,Türkoðlu,Kahramanmaraþ Türkoðlu,221225,237472,231654,237255,233033,46,1694
Kahramanmaraþ,Çaðlayancerit,Kahramanmaraþ Çaðlayancerit,49057,60373,63023,66312,63143,46,1785
Karabük,Eflani,Karabük Eflani,117471,134634,136067,128072,132286,78,1296
Karabük,Eskipazar,Karabük Eskipazar,151813,166499,164702,164702,164702,78,1321
Karabük,Merkez,Karabük Merkez,29754,35588,35687,35723,45736,78,1433
Karabük,Ovacýk,Karabük Ovacýk,25245,29012,29916,31377,40153,78,1561
Karabük,Safranbolu,Karabük Safranbolu,48470,55461,57497,54121,72654,78,1587
Karabük,Yenice,Karabük Yenice,3592,4555,4555,4559,4603,78,1856
Karaman,Ayrancý,Karaman Ayrancý,849803,810264,809276,806250,796851,70,1768
Karaman,Baþyayla,Karaman Baþyayla,18902,18902,19598,19702,19740,70,1884
Karaman,Ermenek,Karaman Ermenek,163030,172417,173746,173706,173707,70,1316
Karaman,Kazýmkarabekir,Karaman Kazýmkarabekir,199284,197174,198269,235997,224600,70,1862
Karaman,Merkez,Karaman Merkez,2016491,2084805,2124514,2117164,2112686,70,1439
Karaman,Sarýveliler,Karaman Sarýveliler,44426,41440,45052,46394,44537,70,1983
Kars,Akyaka,Kars Akyaka,139172,146361,143592,157108,210928,36,1756
Kars,Arpaçay,Kars Arpaçay,228675,246858,237659,243860,255577,36,1149
Kars,Digor,Kars Digor,390327,408042,413841,417217,423708,36,1279
Kars,Kaðýzman,Kars Kaðýzman,299474,323485,318639,320177,323160,36,1424
Kars,Merkez,Kars Merkez,413644,435592,431846,444897,574712,36,1447
Kars,Sarýkamýþ,Kars Sarýkamýþ,321016,325857,340733,353014,368312,36,1601
Kars,Selim,Kars Selim,273818,283886,286058,288828,315032,36,1614
Kars,Susuz,Kars Susuz,140965,137256,134784,139145,176627,36,1645
Kastamonu,Abana,Kastamonu Abana,1768,1446,1795,1781,1780,37,1101
Kastamonu,Araç,Kastamonu Araç,58355,65060,76243,63492,65901,37,1140
Kastamonu,Azdavay,Kastamonu Azdavay,12961,12772,10769,10174,11436,37,1162
Kastamonu,Aðlý,Kastamonu Aðlý,21311,16826,19299,19448,20181,37,1867
Kastamonu,Bozkurt,Kastamonu Bozkurt,13757,15213,15130,14868,13128,37,1208
Kastamonu,Cide,Kastamonu Cide,39900,39699,39421,41971,39319,37,1221
Kastamonu,Daday,Kastamonu Daday,58377,63962,64112,60868,61207,37,1264
Kastamonu,Devrekani,Kastamonu Devrekani,148423,156384,157747,165834,164967,37,1277
Kastamonu,Doðanyurt,Kastamonu Doðanyurt,23370,22149,21945,20718,22573,37,1915
Kastamonu,Hanönü,Kastamonu Hanönü,23877,23112,22403,20576,13502,37,1940
Kastamonu,Küre,Kastamonu Küre,3775,4533,4058,4230,5311,37,1499
Kastamonu,Merkez,Kastamonu Merkez,450994,365314,391533,393061,404325,37,1450
Kastamonu,Pýnarbaþý,Kastamonu Pýnarbaþý,7117,5002,5105,5616,4187,37,1836
Kastamonu,Seydiler,Kastamonu Seydiler,57484,60333,64440,63028,59447,37,1984
Kastamonu,Taþköprü,Kastamonu Taþköprü,254902,241254,250072,233815,220650,37,1666
Kastamonu,Tosya,Kastamonu Tosya,202844,206322,206527,173914,171646,37,1685
Kastamonu,Çatalzeytin,Kastamonu Çatalzeytin,6734,1737,1779,3381,1879,37,1238
Kastamonu,Ýhsangazi,Kastamonu Ýhsangazi,50176,64189,63224,60720,58487,37,1805
Kastamonu,Ýnebolu,Kastamonu Ýnebolu,34986,34986,34986,34986,34809,37,1410
Kastamonu,Þenpazar,Kastamonu Þenpazar,1780,1701,1697,1823,1707,37,1845
Kayseri,Akkýþla,Kayseri Akkýþla,87439,86955,87605,107392,99508,38,1752
Kayseri,Bünyan,Kayseri Bünyan,425401,427809,430139,664307,664194,38,1218
Kayseri,Develi,Kayseri Develi,728491,708210,607115,598360,613349,38,1275
Kayseri,Felahiye,Kayseri Felahiye,149732,146270,152652,218185,227962,38,1330
Kayseri,Hacýlar,Kayseri Hacýlar,27832,27635,27402,27212,26698,38,1936
Kayseri,Kocasinan,Kayseri Kocasinan,1020038,1020709,1008017,767294,775963,38,1863
Kayseri,Melikgazi,Kayseri Melikgazi,154656,159007,154824,178050,181323,38,1864
Kayseri,Pýnarbaþý,Kayseri Pýnarbaþý,845315,656016,727736,1309736,1341974,38,1576
Kayseri,Sarýoðlan,Kayseri Sarýoðlan,339375,344493,233702,363452,367785,38,1603
Kayseri,Sarýz,Kayseri Sarýz,141062,145850,134928,176246,199844,38,1605
Kayseri,Talas,Kayseri Talas,229020,228691,222141,189306,202663,38,1846
Kayseri,Tomarza,Kayseri Tomarza,611253,603804,608813,555452,610673,38,1680
Kayseri,Yahyalý,Kayseri Yahyalý,248619,249112,251139,199211,201381,38,1715
Kayseri,Yeþilhisar,Kayseri Yeþilhisar,339939,337743,340620,355068,359292,38,1727
Kayseri,Özvatan,Kayseri Özvatan,43524,46119,51969,69578,70733,38,1978
Kayseri,Ýncesu,Kayseri Ýncesu,326393,319908,327609,246103,251507,38,1409
Kilis,Elbeyli,Kilis Elbeyli,213486,210888,219338,211778,214545,79,2023
Kilis,Merkez,Kilis Merkez,409448,405339,405350,403121,401724,79,1476
Kilis,Musabeyli,Kilis Musabeyli,243133,246942,245980,242780,235090,79,2024
Kilis,Polateli,Kilis Polateli,154623,154621,154088,153786,151630,79,2025
Kocaeli,Baþiskele,Kocaeli Baþiskele,7528,7650,7767,8800,9163,41,2058
Kocaeli,Darýca,Kocaeli Darýca,362,287,241,247,251,41,2060
Kocaeli,Derince,Kocaeli Derince,58028,59882,60023,59102,52321,41,2030
Kocaeli,Dilovasý,Kocaeli Dilovasý,25,28,28,108,125,41,2061
Kocaeli,Gebze,Kocaeli Gebze,78062,75657,75323,75272,75908,41,1338
Kocaeli,Gölcük,Kocaeli Gölcük,6955,6873,6658,6906,6942,41,1355
Kocaeli,Kandýra,Kocaeli Kandýra,348149,349027,334778,354027,356145,41,1430
Kocaeli,Karamürsel,Kocaeli Karamürsel,95784,93196,93506,99894,101414,41,1440
Kocaeli,Kartepe,Kocaeli Kartepe,23527,31226,34006,28619,21002,41,2063
Kocaeli,Körfez,Kocaeli Körfez,55138,58873,68485,71623,76012,41,1821
Kocaeli,Çayýrova,Kocaeli Çayýrova,4,4,0,1,0,41,2059
Kocaeli,Ýzmit,Kocaeli Ýzmit,121639,113937,112781,114412,122240,41,2062
Konya,Ahýrlý,Konya Ahýrlý,67176,66404,77938,78820,82868,42,1868
Konya,Akören,Konya Akören,217107,207849,211137,208259,211675,42,1753
Konya,Akþehir,Konya Akþehir,498056,453348,361808,357110,359368,42,1122
Konya,Altýnekin,Konya Altýnekin,625680,675989,730808,719884,731411,42,1760
Konya,Beyþehir,Konya Beyþehir,524316,519890,541635,543898,543833,42,1188
Konya,Bozkýr,Konya Bozkýr,178256,172677,174559,174559,174559,42,1207
Konya,Cihanbeyli,Konya Cihanbeyli,2373581,2117602,2129974,2179196,2142128,42,1222
Konya,Derbent,Konya Derbent,130226,132953,126517,127831,123263,42,1907
Konya,Derebucak,Konya Derebucak,28408,26682,28370,25480,23956,42,1789
Konya,Doðanhisar,Konya Doðanhisar,222394,225822,212221,213387,223889,42,1285
Konya,Emirgazi,Konya Emirgazi,432515,425634,426410,413769,404116,42,1920
Konya,Ereðli,Konya Ereðli,1091453,1042978,1114376,1076488,1085588,42,1312
Konya,Güneysýnýr,Konya Güneysýnýr,209708,207116,216740,201074,219747,42,1933
Konya,Hadim,Konya Hadim,82542,81993,81082,80499,81011,42,1375
Konya,Halkapýnar,Konya Halkapýnar,53387,53461,54300,56830,57655,42,1937
Konya,Hüyük,Konya Hüyük,199767,193612,200343,201485,202567,42,1804
Konya,Ilgýn,Konya Ilgýn,772434,768227,777235,766225,720517,42,1400
Konya,Kadýnhaný,Konya Kadýnhaný,1111126,1077113,1098657,1084022,1108479,42,1422
Konya,Karapýnar,Konya Karapýnar,1023867,1357514,1420845,1369020,1249149,42,1441
Konya,Karatay,Konya Karatay,1781547,1836106,1883209,1852394,1859978,42,1814
Konya,Kulu,Konya Kulu,1155496,1156724,968065,1006633,997042,42,1491
Konya,Meram,Konya Meram,612157,586917,624143,603058,637257,42,1827
Konya,Sarayönü,Konya Sarayönü,1201543,1157253,1179185,1144924,1155858,42,1598
Konya,Selçuklu,Konya Selçuklu,648790,636923,657594,650116,656491,42,1839
Konya,Seydiþehir,Konya Seydiþehir,372525,374201,379050,382607,386893,42,1617
Konya,Taþkent,Konya Taþkent,48248,48151,38114,17139,17213,42,1848
Konya,Tuzlukçu,Konya Tuzlukçu,381151,373734,375150,374917,380248,42,1990
Konya,Yalýhüyük,Konya Yalýhüyük,39892,38978,39153,38341,40119,42,1994
Konya,Yunak,Konya Yunak,869572,985794,1086627,1202557,1305556,42,1735
Konya,Çeltik,Konya Çeltik,370830,387270,381262,327166,348322,42,1902
Konya,Çumra,Konya Çumra,1267038,1321344,1299640,1328394,1315278,42,1262
Kütahya,Altýntaþ,Kütahya Altýntaþ,420854,406295,409286,414116,415861,43,1132
Kütahya,Aslanapa,Kütahya Aslanapa,225207,249234,246030,245564,212858,43,1764
Kütahya,Domaniç,Kütahya Domaniç,96957,90013,95292,94882,94451,43,1288
Kütahya,Dumlupýnar,Kütahya Dumlupýnar,58345,54334,59763,60554,58608,43,1790
Kütahya,Emet,Kütahya Emet,202862,177393,177637,169742,170195,43,1304
Kütahya,Gediz,Kütahya Gediz,493542,460356,468193,471045,472029,43,1339
Kütahya,Hisarcýk,Kütahya Hisarcýk,58367,54870,60246,59612,58337,43,1802
Kütahya,Merkez,Kütahya Merkez,592914,637039,618505,619748,619740,43,1500
Kütahya,Pazarlar,Kütahya Pazarlar,43521,38024,36977,36166,35923,43,1979
Kütahya,Simav,Kütahya Simav,382356,374126,348222,296483,298538,43,1625
Kütahya,Tavþanlý,Kütahya Tavþanlý,297913,344534,343842,364302,388498,43,1671
Kütahya,Çavdarhisar,Kütahya Çavdarhisar,175205,172549,173260,172374,172721,43,1898
Kütahya,Þaphane,Kütahya Þaphane,66057,65548,64958,63666,62102,43,1843
Kýrklareli,Babaeski,Kýrklareli Babaeski,494745,522055,521330,521467,520848,39,1163
Kýrklareli,Demirköy,Kýrklareli Demirköy,4547,6904,7646,8184,7584,39,1270
Kýrklareli,Kofçaz,Kýrklareli Kofçaz,84201,89750,93156,96176,101286,39,1480
Kýrklareli,Lüleburgaz,Kýrklareli Lüleburgaz,771993,813752,813850,811453,812211,39,1505
Kýrklareli,Merkez,Kýrklareli Merkez,516223,575255,578728,580131,582501,39,1471
Kýrklareli,Pehlivanköy,Kýrklareli Pehlivanköy,80028,85517,86932,86704,86355,39,1572
Kýrklareli,Pýnarhisar,Kýrklareli Pýnarhisar,163829,178313,175304,176920,176823,39,1577
Kýrklareli,Vize,Kýrklareli Vize,199908,207127,207502,214020,204548,39,1714
Kýrýkkale,Bahþýlý,Kýrýkkale Bahþýlý,142755,147444,147448,147498,109582,71,1880
Kýrýkkale,Balýþeyh,Kýrýkkale Balýþeyh,491713,494508,491101,491945,437784,71,1882
Kýrýkkale,Delice,Kýrýkkale Delice,497025,506383,506437,507259,490647,71,1268
Kýrýkkale,Karakeçili,Kýrýkkale Karakeçili,176478,191834,193002,192231,107322,71,1954
Kýrýkkale,Keskin,Kýrýkkale Keskin,821475,860730,861455,862003,789623,71,1463
Kýrýkkale,Merkez,Kýrýkkale Merkez,179276,183046,183585,183639,226417,71,1469
Kýrýkkale,Sulakyurt,Kýrýkkale Sulakyurt,407795,418295,421754,419896,320293,71,1638
Kýrýkkale,Yahþihan,Kýrýkkale Yahþihan,156757,160508,160569,160637,104321,71,1992
Kýrýkkale,Çelebi,Kýrýkkale Çelebi,127624,119969,111161,111637,114821,71,1901
Kýrþehir,Akpýnar,Kýrþehir Akpýnar,165363,168162,176043,195168,215118,40,1754
Kýrþehir,Akçakent,Kýrþehir Akçakent,108899,114506,107444,107453,130574,40,1869
Kýrþehir,Boztepe,Kýrþehir Boztepe,281405,308001,293528,293883,533163,40,1890
Kýrþehir,Kaman,Kýrþehir Kaman,1080078,1009139,1007938,1003694,762957,40,1429
Kýrþehir,Merkez,Kýrþehir Merkez,816152,822384,882419,897705,870029,40,1472
Kýrþehir,Mucur,Kýrþehir Mucur,486107,490617,489985,538687,591537,40,1529
Kýrþehir,Çiçekdaðý,Kýrþehir Çiçekdaðý,337995,352195,359367,347155,376643,40,1254
Malatya,Akçadað,Malatya Akçadað,347962,332787,331379,328439,293511,44,1114
Malatya,Arapgir,Malatya Arapgir,171002,172472,172172,171606,170224,44,1143
Malatya,Arguvan,Malatya Arguvan,333440,296797,296517,306617,297335,44,1148
Malatya,Battalgazi,Malatya Battalgazi,315325,311373,307526,306388,299963,44,1772
Malatya,Darende,Malatya Darende,350155,351843,352515,373365,386804,44,1265
Malatya,Doðanyol,Malatya Doðanyol,27142,24677,24657,24986,25451,44,1914
Malatya,Doðanþehir,Malatya Doðanþehir,147670,133913,154090,128732,101774,44,1286
Malatya,Hekimhan,Malatya Hekimhan,274350,277218,279779,289954,292114,44,1390
Malatya,Kale,Malatya Kale,26133,24405,24501,22449,22379,44,1953
Malatya,Kuluncak,Malatya Kuluncak,179172,180876,180894,184535,198179,44,1969
Malatya,Pütürge,Malatya Pütürge,49794,49723,49683,50174,56767,44,1582
Malatya,Yazýhan,Malatya Yazýhan,314459,310686,309927,301787,315827,44,1995
Malatya,Yeþilyurt,Malatya Yeþilyurt,271215,263178,260300,219499,224453,44,1729
Manisa,Ahmetli,Manisa Ahmetli,116048,115603,115374,115881,115760,45,1751
Manisa,Akhisar,Manisa Akhisar,824601,821042,810587,746284,683693,45,1118
Manisa,Alaþehir,Manisa Alaþehir,365214,362958,363314,362888,362270,45,1127
Manisa,Demirci,Manisa Demirci,275141,278262,279120,283932,291407,45,1269
Manisa,Gölmarmara,Manisa Gölmarmara,92334,94434,94412,95098,119236,45,1793
Manisa,Gördes,Manisa Gördes,297806,280751,306673,307554,304846,45,1362
Manisa,Kula,Manisa Kula,357464,350475,347834,360336,340096,45,1489
Manisa,Köprübaþý,Manisa Köprübaþý,147486,174654,179297,184986,192484,45,1965
Manisa,Kýrkaðaç,Manisa Kýrkaðaç,210059,209395,209389,210174,210927,45,1470
Manisa,Salihli,Manisa Salihli,577739,564587,564588,566369,567487,45,1590
Manisa,Saruhanlý,Manisa Saruhanlý,396258,396103,397014,397300,398187,45,1606
Manisa,Sarýgöl,Manisa Sarýgöl,182061,181513,184154,187307,188551,45,1600
Manisa,Selendi,Manisa Selendi,364426,365203,370235,376267,379164,45,1613
Manisa,Soma,Manisa Soma,209211,207312,204780,204066,206415,45,1634
Manisa,Turgutlu,Manisa Turgutlu,247923,249438,249460,249552,249112,45,1689
Manisa,Yunusemre,Manisa Yunusemre,99074,100198,100724,100486,100704,45,2087
Manisa,Þehzadeler,Manisa Þehzadeler,308470,323735,324539,326783,329287,45,2086
Mardin,Artuklu,Mardin Artuklu,327433,326812,328787,331215,328664,47,2088
Mardin,Dargeçit,Mardin Dargeçit,183009,182984,186620,186030,163014,47,1787
Mardin,Derik,Mardin Derik,506769,522592,540572,545583,550583,47,1273
Mardin,Kýzýltepe,Mardin Kýzýltepe,984052,1001350,1001350,1000850,998840,47,1474
Mardin,Mazýdaðý,Mardin Mazýdaðý,122734,123837,124037,124741,123958,47,1519
Mardin,Midyat,Mardin Midyat,365411,374006,374006,374369,374434,47,1526
Mardin,Nusaybin,Mardin Nusaybin,261725,268709,268579,268779,268779,47,1547
Mardin,Savur,Mardin Savur,213166,208342,213000,213000,212983,47,1609
Mardin,Yeþilli,Mardin Yeþilli,35773,35681,35810,35805,35810,47,2002
Mardin,Ömerli,Mardin Ömerli,140208,130312,188895,191965,191155,47,1564
Mersin,Akdeniz,Mersin Akdeniz,103489,125577,117407,110514,105454,33,2064
Mersin,Anamur,Mersin Anamur,210007,205781,214331,203428,188435,33,1135
Mersin,Aydýncýk,Mersin Aydýncýk,51873,56039,59259,58220,53230,33,1766
Mersin,Bozyazý,Mersin Bozyazý,68887,70091,68512,69571,69329,33,1779
Mersin,Erdemli,Mersin Erdemli,267991,268103,261648,255106,257926,33,1311
Mersin,Gülnar,Mersin Gülnar,192131,187834,191185,200528,196457,33,1366
Mersin,Mezitli,Mersin Mezitli,60001,55378,51357,50557,49425,33,2065
Mersin,Mut,Mersin Mut,730344,731837,710837,712082,713100,33,1536
Mersin,Silifke,Mersin Silifke,498225,492492,505084,504612,519729,33,1621
Mersin,Tarsus,Mersin Tarsus,985686,1003725,1013630,1014821,1004217,33,1665
Mersin,Toroslar,Mersin Toroslar,65018,81353,63764,64638,62265,33,2066
Mersin,Yeniþehir,Mersin Yeniþehir,29383,27413,27539,27540,26528,33,2067
Mersin,Çamlýyayla,Mersin Çamlýyayla,33628,9651,8568,12394,12658,33,1892
Muðla,Bodrum,Muðla Bodrum,124159,124532,123906,123294,121861,48,1197
Muðla,Dalaman,Muðla Dalaman,119571,119676,121256,119374,119572,48,1742
Muðla,Datça,Muðla Datça,28511,27667,27179,27112,25329,48,1266
Muðla,Fethiye,Muðla Fethiye,108931,107512,104995,103105,101029,48,1331
Muðla,Kavaklýdere,Muðla Kavaklýdere,31147,30567,32493,30532,32284,48,1958
Muðla,Köyceðiz,Muðla Köyceðiz,105631,102096,101726,101885,98286,48,1488
Muðla,Marmaris,Muðla Marmaris,12887,17112,18493,18592,14592,48,1517
Muðla,Menteþe,Muðla Menteþe,230762,232626,233451,235401,234793,48,2089
Muðla,Milas,Muðla Milas,687049,673727,654750,671572,669911,48,1528
Muðla,Ortaca,Muðla Ortaca,65422,65599,66237,65255,64384,48,1831
