"il_kod","ilce_kod","islem_adeti","islem_suresi"
"65","1786",279076,18451
"54","1123",93413,13822
"55","1849",131060,14032
"42","1848",17858,1937
"56","1878",10821,6867
"28","1465",33069,3668
"48","2090",179344,20917
"20","1233",46054,6002
"34","2014",10149,2511
"55","1164",303685,31386
"43","1802",80446,18091
"63","1630",810114,56929
"35","1467",1258572,71474
"47","1547",268644,39513
"38","1330",43765,3087
"21","1249",625927,36787
"62","1518",69569,9082
"61","1681",48838,11196
"12","1996",76720,6623
"53","1146",8686,2609
"29","1971",24563,1984
"31","2082",40289,8199
"6","1130",56094,11253
"57","1156",17741,3695
"43","1898",39357,6982
"10","1824",16162,2820
"24","1459",32086,2919
"19","1976",15640,1594
"20","1224",96558,12341
"29","1822",32344,4601
"44","1286",70345,5408
"61","1150",24012,3533
"48","1695",47646,10910
"17","1293",62198,3950
"47","1526",88424,6946
"59","1258",65057,5309
"54","2070",57291,10621
"41","2060",7724,638
"51","1225",107908,8746
"34","1327",1929,3063
"38","1715",101437,9391
"27","1841",298017,20252
"11","1636",59535,4200
"50","1707",33144,4267
"19","1558",113050,9708
"79","2023",73426,7096
"15","1672",166710,14562
"32","1297",99899,9120
"45","1470",59419,5205
"1","1219",188314,18741
"34","1325",95502,9074
"41","1355",31881,5126
"42","1735",553118,43132
"6","1922",42268,3626
"3","1906",80180,10246
"75","2008",185355,32852
"6","1578",1032775,49753
"76","2011",398831,74837
"6","1227",45474,3570
"16","1411",125152,13210
"31","1585",100401,11001
"43","1132",130726,13328
"11","1948",8945,1308
"58","1376",107491,9110
"77","2026",9655,976
"35","1819",5994,1295
"21","1315",536140,29902
"37","1221",25587,3725
"9","1497",61923,10330
"45","1634",78464,6018
"34","1183",3569,4026
"50","1749",58266,4903
"42","1441",685678,64529
"48","1266",10657,2786
"25","1674",616031,60510
"34","2053",14690,8100
"75","1252",321685,19158
"57","1204",118712,12192
"34","1823",12881,3317
"25","1812",210048,16035
"20","1597",67003,8525
"32","1929",32600,3490
"81","1730",16615,4856
"61","1775",23578,3013
"50","1155",130096,14026
"45","1600",131907,12538
"27","1139",86528,6859
"34","1237",404920,175170
"1","1687",120881,11565
"36","1424",620364,63261
"47","2088",126137,12300
"3","1639",147318,16623
"10","2077",403030,69687
"42","1207",110291,12471
"10","1216",63384,6496
"78","1856",24095,3174
"10","1294",54081,6416
"4","1379",471854,511243
"4","1301",643391,44192
"57","1981",25561,3141
"80","2029",70843,4367
"35","1682",256605,34150
"54","1391",66975,10981
"73","1189",138366,9877
"53","1569",15569,6421
"37","1984",46777,3789
"55","2073",30579,3362
"9","1968",71245,7344
"28","1654",217369,15950
"34","1708",17538,9810
"20","1371",35692,4201
"72","1345",570623,29727
"7","1811",22909,3036
"36","1149",386957,25281
"16","1343",24760,3482
"43","1339",87750,6579
"33","1779",28592,2555
"12","1855",12080,2755
"34","1739",4062,633
"73","1623",50829,9001
"67","2100",8890,1856
"71","1268",103692,4761
"60","1151",67466,5626
"37","1666",607148,184544
"36","1645",334432,20626
"15","1109",43584,4832
"3","1267",112026,11679
"58","1875",118143,10155
"53","1908",2801,1458
"43","1764",121210,12575
"34","1810",24844,10114
"74","1701",48193,6770
"76","1692",425576,25757
"10","1291",164633,21874
"42","1262",490825,37734
"35","1776",87051,5924
"62","1541",42141,17227
"34","1166",1043,1814
"42","1598",481414,44077
"35","2006",6891,4791
"50","1374",59461,4534
"58","1407",41167,4534
"6","1745",30032,3989
"38","1978",13420,1677
"59","2095",76139,5354
"81","2031",13020,4025
"13","1669",162682,11649
"25","1540",220803,14189
"59","1538",112120,19896
"36","1614",557239,33129
"20","1226",92953,13460
"73","1698",87759,7157
"3","1200",182746,21109
"75","1579",97367,7528
"66","1982",35826,2695
"2","1985",91997,10750
"27","1549",264484,20172
"14","1364",86179,18085
"7","1959",12100,2467
"65","1980",147807,12943
"6","1187",135837,12963
"69","1788",84390,6719
"61","1141",57048,5290
"26","1777",647137,21704
"25","1851",26329,3230
"35","1703",66632,13162
"45","1965",141252,14115
"23","1873",27822,2654
"70","1316",387954,79297
"7","2039",23904,5778
"34","2005",5081,1748
"4","1283",495181,213076
"32","1154",27558,2857
"11","1559",39872,5449
"60","1584",77658,7068
"23","1455",28886,6715
"16","1829",49489,7098
"32","1699",41614,2714
"1","1486",217422,26401
"18","1765",40667,4468
"19","1177",125500,10630
"16","1457",29278,2796
"17","1503",89838,7902
"47","1519",111567,9150
"67","1313",46343,11541
"26","1632",301626,33126
"54","1986",46689,12334
"2","1246",84071,26614
"33","1311",78300,16088
"6","2034",23287,2047
"1","1443",150436,11385
"31","1468",124995,9894
"24","1977",22282,1948
"44","1914",18871,3836
"38","1752",115836,10048
"6","1260",303133,27063
"20","1881",50950,7122
"55","1838",37027,5730
"3","1404",448606,28840
"37","1867",23873,2833
