ust_kategori,hayvansal_alt_grup,il_kod,il_adi,ilce_kod,ilce_adi,period,duzey_kodu,duzey_tip,y2021,y2022,y2023,y2024,il_ilce_adi
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,1,Adana,1588,Saimbeyli,yillik,1588,4,3,3,3,3,Adana Saimbeyli
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,1,Adana,1588,Saimbeyli,yillik,1588,4,1,1,1,1,Adana Saimbeyli
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,1,Adana,1588,Saimbeyli,yillik,1588,4,1,1,1,1,Adana Saimbeyli
Hayvansal Üretim,Canlý Hayvan Sayýsý,1,Adana,1687,Tufanbeyli,yillik,1687,4,58,56,56,56,Adana Tufanbeyli
Hayvansal Üretim,Diðer,1,Adana,1687,Tufanbeyli,yillik,1687,4,245,283,286,314,Adana Tufanbeyli
Hayvansal Üretim,Kýrkýlan Hayvan,1,Adana,1687,Tufanbeyli,yillik,1687,4,4,4,4,3,Adana Tufanbeyli
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,1,Adana,1687,Tufanbeyli,yillik,1687,4,3,3,3,3,Adana Tufanbeyli
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,1,Adana,1687,Tufanbeyli,yillik,1687,4,1,1,1,1,Adana Tufanbeyli
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,1,Adana,1687,Tufanbeyli,yillik,1687,4,1,1,1,1,Adana Tufanbeyli
Hayvansal Üretim,Canlý Hayvan Sayýsý,1,Adana,1734,Yumurtalýk,yillik,1734,4,58,56,56,56,Adana Yumurtalýk
Hayvansal Üretim,Diðer,1,Adana,1734,Yumurtalýk,yillik,1734,4,372,379,402,406,Adana Yumurtalýk
Hayvansal Üretim,Kýrkýlan Hayvan,1,Adana,1734,Yumurtalýk,yillik,1734,4,3,3,3,2,Adana Yumurtalýk
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,1,Adana,1734,Yumurtalýk,yillik,1734,4,3,3,3,3,Adana Yumurtalýk
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,1,Adana,1734,Yumurtalýk,yillik,1734,4,1,1,1,1,Adana Yumurtalýk
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,1,Adana,1734,Yumurtalýk,yillik,1734,4,1,1,1,1,Adana Yumurtalýk
Hayvansal Üretim,Canlý Hayvan Sayýsý,1,Adana,1748,Yüreðir,yillik,1748,4,58,56,56,56,Adana Yüreðir
Hayvansal Üretim,Diðer,1,Adana,1748,Yüreðir,yillik,1748,4,466,485,501,514,Adana Yüreðir
Hayvansal Üretim,Kýrkýlan Hayvan,1,Adana,1748,Yüreðir,yillik,1748,4,3,3,4,4,Adana Yüreðir
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,1,Adana,1748,Yüreðir,yillik,1748,4,3,3,3,3,Adana Yüreðir
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,1,Adana,1748,Yüreðir,yillik,1748,4,1,1,1,1,Adana Yüreðir
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,1,Adana,1748,Yüreðir,yillik,1748,4,1,1,1,1,Adana Yüreðir
Hayvansal Üretim,Canlý Hayvan Sayýsý,1,Adana,1757,Aladað,yillik,1757,4,58,56,56,56,Adana Aladað
Hayvansal Üretim,Diðer,1,Adana,1757,Aladað,yillik,1757,4,229,251,246,278,Adana Aladað
Hayvansal Üretim,Kýrkýlan Hayvan,1,Adana,1757,Aladað,yillik,1757,4,3,3,3,3,Adana Aladað
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,1,Adana,1757,Aladað,yillik,1757,4,3,3,3,3,Adana Aladað
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,1,Adana,1757,Aladað,yillik,1757,4,1,1,1,1,Adana Aladað
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,1,Adana,1757,Aladað,yillik,1757,4,1,1,1,1,Adana Aladað
Hayvansal Üretim,Canlý Hayvan Sayýsý,1,Adana,1806,Ýmamoðlu,yillik,1806,4,58,56,56,56,Adana Ýmamoðlu
Hayvansal Üretim,Diðer,1,Adana,1806,Ýmamoðlu,yillik,1806,4,353,378,383,375,Adana Ýmamoðlu
Hayvansal Üretim,Kýrkýlan Hayvan,1,Adana,1806,Ýmamoðlu,yillik,1806,4,3,3,3,3,Adana Ýmamoðlu
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,1,Adana,1806,Ýmamoðlu,yillik,1806,4,3,3,3,3,Adana Ýmamoðlu
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,1,Adana,1806,Ýmamoðlu,yillik,1806,4,1,1,1,1,Adana Ýmamoðlu
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,1,Adana,1806,Ýmamoðlu,yillik,1806,4,1,1,1,1,Adana Ýmamoðlu
Hayvansal Üretim,Canlý Hayvan Sayýsý,1,Adana,2032,Sarýçam,yillik,2032,4,58,56,56,56,Adana Sarýçam
Hayvansal Üretim,Diðer,1,Adana,2032,Sarýçam,yillik,2032,4,428,436,449,492,Adana Sarýçam
Hayvansal Üretim,Kýrkýlan Hayvan,1,Adana,2032,Sarýçam,yillik,2032,4,4,4,3,3,Adana Sarýçam
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,1,Adana,2032,Sarýçam,yillik,2032,4,3,3,3,3,Adana Sarýçam
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,1,Adana,2032,Sarýçam,yillik,2032,4,1,1,1,1,Adana Sarýçam
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,1,Adana,2032,Sarýçam,yillik,2032,4,1,1,1,1,Adana Sarýçam
Hayvansal Üretim,Canlý Hayvan Sayýsý,1,Adana,2033,Çukurova,yillik,2033,4,58,56,56,56,Adana Çukurova
Hayvansal Üretim,Diðer,1,Adana,2033,Çukurova,yillik,2033,4,341,347,316,324,Adana Çukurova
Hayvansal Üretim,Kýrkýlan Hayvan,1,Adana,2033,Çukurova,yillik,2033,4,3,3,3,3,Adana Çukurova
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,1,Adana,2033,Çukurova,yillik,2033,4,3,3,3,3,Adana Çukurova
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,1,Adana,2033,Çukurova,yillik,2033,4,1,1,1,1,Adana Çukurova
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,1,Adana,2033,Çukurova,yillik,2033,4,1,1,1,1,Adana Çukurova
Hayvansal Üretim,Canlý Hayvan Sayýsý,2,Adýyaman,1105,Merkez,yillik,1105,4,58,50,50,50,Adýyaman Merkez
Hayvansal Üretim,Diðer,2,Adýyaman,1105,Merkez,yillik,1105,4,435,463,460,454,Adýyaman Merkez
Hayvansal Üretim,Kýrkýlan Hayvan,2,Adýyaman,1105,Merkez,yillik,1105,4,3,3,3,3,Adýyaman Merkez
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,2,Adýyaman,1105,Merkez,yillik,1105,4,3,3,3,3,Adýyaman Merkez
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,2,Adýyaman,1105,Merkez,yillik,1105,4,1,1,1,1,Adýyaman Merkez
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,2,Adýyaman,1105,Merkez,yillik,1105,4,1,1,1,1,Adýyaman Merkez
Hayvansal Üretim,Canlý Hayvan Sayýsý,2,Adýyaman,1182,Besni,yillik,1182,4,58,50,50,50,Adýyaman Besni
Hayvansal Üretim,Diðer,2,Adýyaman,1182,Besni,yillik,1182,4,475,483,444,443,Adýyaman Besni
Hayvansal Üretim,Kýrkýlan Hayvan,2,Adýyaman,1182,Besni,yillik,1182,4,2,2,2,2,Adýyaman Besni
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,2,Adýyaman,1182,Besni,yillik,1182,4,3,3,3,3,Adýyaman Besni
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,2,Adýyaman,1182,Besni,yillik,1182,4,1,1,1,1,Adýyaman Besni
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,2,Adýyaman,1182,Besni,yillik,1182,4,1,1,1,1,Adýyaman Besni
Hayvansal Üretim,Canlý Hayvan Sayýsý,2,Adýyaman,1246,Çelikhan,yillik,1246,4,58,50,50,50,Adýyaman Çelikhan
Hayvansal Üretim,Diðer,2,Adýyaman,1246,Çelikhan,yillik,1246,4,217,216,217,218,Adýyaman Çelikhan
Hayvansal Üretim,Kýrkýlan Hayvan,2,Adýyaman,1246,Çelikhan,yillik,1246,4,2,2,2,2,Adýyaman Çelikhan
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,2,Adýyaman,1246,Çelikhan,yillik,1246,4,3,3,3,3,Adýyaman Çelikhan
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,2,Adýyaman,1246,Çelikhan,yillik,1246,4,1,1,1,1,Adýyaman Çelikhan
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,2,Adýyaman,1246,Çelikhan,yillik,1246,4,1,1,1,1,Adýyaman Çelikhan
Hayvansal Üretim,Canlý Hayvan Sayýsý,2,Adýyaman,1347,Gerger,yillik,1347,4,58,50,50,50,Adýyaman Gerger
Hayvansal Üretim,Diðer,2,Adýyaman,1347,Gerger,yillik,1347,4,329,328,331,336,Adýyaman Gerger
Hayvansal Üretim,Kýrkýlan Hayvan,2,Adýyaman,1347,Gerger,yillik,1347,4,3,3,3,3,Adýyaman Gerger
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,2,Adýyaman,1347,Gerger,yillik,1347,4,3,3,3,3,Adýyaman Gerger
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,2,Adýyaman,1347,Gerger,yillik,1347,4,1,1,1,1,Adýyaman Gerger
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,2,Adýyaman,1347,Gerger,yillik,1347,4,1,1,1,1,Adýyaman Gerger
Hayvansal Üretim,Canlý Hayvan Sayýsý,2,Adýyaman,1354,Gölbaþý,yillik,1354,4,58,50,50,50,Adýyaman Gölbaþý
Hayvansal Üretim,Diðer,2,Adýyaman,1354,Gölbaþý,yillik,1354,4,344,338,371,373,Adýyaman Gölbaþý
Hayvansal Üretim,Kýrkýlan Hayvan,2,Adýyaman,1354,Gölbaþý,yillik,1354,4,3,2,3,3,Adýyaman Gölbaþý
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,2,Adýyaman,1354,Gölbaþý,yillik,1354,4,3,3,3,3,Adýyaman Gölbaþý
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,2,Adýyaman,1354,Gölbaþý,yillik,1354,4,1,1,1,1,Adýyaman Gölbaþý
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,2,Adýyaman,1354,Gölbaþý,yillik,1354,4,1,1,1,1,Adýyaman Gölbaþý
Hayvansal Üretim,Canlý Hayvan Sayýsý,2,Adýyaman,1425,Kahta,yillik,1425,4,58,50,50,50,Adýyaman Kahta
Hayvansal Üretim,Diðer,2,Adýyaman,1425,Kahta,yillik,1425,4,386,346,363,385,Adýyaman Kahta
Hayvansal Üretim,Kýrkýlan Hayvan,2,Adýyaman,1425,Kahta,yillik,1425,4,3,3,3,3,Adýyaman Kahta
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,2,Adýyaman,1425,Kahta,yillik,1425,4,3,3,3,3,Adýyaman Kahta
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,2,Adýyaman,1425,Kahta,yillik,1425,4,1,1,1,1,Adýyaman Kahta
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,2,Adýyaman,1425,Kahta,yillik,1425,4,1,1,1,1,Adýyaman Kahta
Hayvansal Üretim,Canlý Hayvan Sayýsý,2,Adýyaman,1592,Samsat,yillik,1592,4,58,50,50,50,Adýyaman Samsat
Hayvansal Üretim,Diðer,2,Adýyaman,1592,Samsat,yillik,1592,4,260,265,264,262,Adýyaman Samsat
Hayvansal Üretim,Kýrkýlan Hayvan,2,Adýyaman,1592,Samsat,yillik,1592,4,3,3,3,3,Adýyaman Samsat
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,2,Adýyaman,1592,Samsat,yillik,1592,4,3,3,3,3,Adýyaman Samsat
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,2,Adýyaman,1592,Samsat,yillik,1592,4,1,1,1,1,Adýyaman Samsat
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,2,Adýyaman,1592,Samsat,yillik,1592,4,1,1,1,1,Adýyaman Samsat
Hayvansal Üretim,Canlý Hayvan Sayýsý,2,Adýyaman,1985,Sincik,yillik,1985,4,58,50,50,50,Adýyaman Sincik
Hayvansal Üretim,Diðer,2,Adýyaman,1985,Sincik,yillik,1985,4,188,176,191,194,Adýyaman Sincik
Hayvansal Üretim,Kýrkýlan Hayvan,2,Adýyaman,1985,Sincik,yillik,1985,4,2,2,2,2,Adýyaman Sincik
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,2,Adýyaman,1985,Sincik,yillik,1985,4,3,3,3,3,Adýyaman Sincik
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,2,Adýyaman,1985,Sincik,yillik,1985,4,1,1,1,1,Adýyaman Sincik
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,2,Adýyaman,1985,Sincik,yillik,1985,4,1,1,1,1,Adýyaman Sincik
Hayvansal Üretim,Canlý Hayvan Sayýsý,2,Adýyaman,1989,Tut,yillik,1989,4,58,50,50,50,Adýyaman Tut
Hayvansal Üretim,Diðer,2,Adýyaman,1989,Tut,yillik,1989,4,348,328,345,339,Adýyaman Tut
Hayvansal Üretim,Kýrkýlan Hayvan,2,Adýyaman,1989,Tut,yillik,1989,4,3,3,3,3,Adýyaman Tut
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,2,Adýyaman,1989,Tut,yillik,1989,4,3,3,3,3,Adýyaman Tut
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,2,Adýyaman,1989,Tut,yillik,1989,4,1,1,1,1,Adýyaman Tut
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,2,Adýyaman,1989,Tut,yillik,1989,4,1,1,1,1,Adýyaman Tut
Hayvansal Üretim,Canlý Hayvan Sayýsý,3,Afyonkarahisar,1108,Merkez,yillik,1108,4,58,56,56,56,Afyonkarahisar Merkez
Hayvansal Üretim,Diðer,3,Afyonkarahisar,1108,Merkez,yillik,1108,4,419,419,394,399,Afyonkarahisar Merkez
Hayvansal Üretim,Kýrkýlan Hayvan,3,Afyonkarahisar,1108,Merkez,yillik,1108,4,4,4,4,4,Afyonkarahisar Merkez
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,3,Afyonkarahisar,1108,Merkez,yillik,1108,4,3,3,3,3,Afyonkarahisar Merkez
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,3,Afyonkarahisar,1108,Merkez,yillik,1108,4,1,1,1,1,Afyonkarahisar Merkez
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,3,Afyonkarahisar,1108,Merkez,yillik,1108,4,1,1,1,1,Afyonkarahisar Merkez
Hayvansal Üretim,Canlý Hayvan Sayýsý,3,Afyonkarahisar,1200,Bolvadin,yillik,1200,4,58,56,56,56,Afyonkarahisar Bolvadin
Hayvansal Üretim,Diðer,3,Afyonkarahisar,1200,Bolvadin,yillik,1200,4,356,337,374,382,Afyonkarahisar Bolvadin
Hayvansal Üretim,Kýrkýlan Hayvan,3,Afyonkarahisar,1200,Bolvadin,yillik,1200,4,3,3,3,3,Afyonkarahisar Bolvadin
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,3,Afyonkarahisar,1200,Bolvadin,yillik,1200,4,3,3,3,3,Afyonkarahisar Bolvadin
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,3,Afyonkarahisar,1200,Bolvadin,yillik,1200,4,1,1,1,1,Afyonkarahisar Bolvadin
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,3,Afyonkarahisar,1200,Bolvadin,yillik,1200,4,1,1,1,1,Afyonkarahisar Bolvadin
Hayvansal Üretim,Canlý Hayvan Sayýsý,3,Afyonkarahisar,1239,Çay,yillik,1239,4,58,56,56,56,Afyonkarahisar Çay
Hayvansal Üretim,Diðer,3,Afyonkarahisar,1239,Çay,yillik,1239,4,483,504,508,479,Afyonkarahisar Çay
Hayvansal Üretim,Kýrkýlan Hayvan,3,Afyonkarahisar,1239,Çay,yillik,1239,4,3,3,3,3,Afyonkarahisar Çay
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,3,Afyonkarahisar,1239,Çay,yillik,1239,4,3,3,3,3,Afyonkarahisar Çay
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,3,Afyonkarahisar,1239,Çay,yillik,1239,4,1,1,1,1,Afyonkarahisar Çay
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,3,Afyonkarahisar,1239,Çay,yillik,1239,4,1,1,1,1,Afyonkarahisar Çay
Hayvansal Üretim,Canlý Hayvan Sayýsý,3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,58,56,56,56,Afyonkarahisar Dazkýrý
Hayvansal Üretim,Diðer,3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,369,397,402,397,Afyonkarahisar Dazkýrý
Hayvansal Üretim,Kýrkýlan Hayvan,3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,3,3,3,3,Afyonkarahisar Dazkýrý
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,3,3,3,3,Afyonkarahisar Dazkýrý
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,1,1,1,1,Afyonkarahisar Dazkýrý
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,1,1,1,1,Afyonkarahisar Dazkýrý
Hayvansal Üretim,Canlý Hayvan Sayýsý,3,Afyonkarahisar,1281,Dinar,yillik,1281,4,58,56,56,56,Afyonkarahisar Dinar
Hayvansal Üretim,Diðer,3,Afyonkarahisar,1281,Dinar,yillik,1281,4,495,500,502,497,Afyonkarahisar Dinar
Hayvansal Üretim,Kýrkýlan Hayvan,3,Afyonkarahisar,1281,Dinar,yillik,1281,4,3,3,3,3,Afyonkarahisar Dinar
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,3,Afyonkarahisar,1281,Dinar,yillik,1281,4,3,3,3,3,Afyonkarahisar Dinar
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,3,Afyonkarahisar,1281,Dinar,yillik,1281,4,1,1,1,1,Afyonkarahisar Dinar
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,3,Afyonkarahisar,1281,Dinar,yillik,1281,4,1,1,1,1,Afyonkarahisar Dinar
Hayvansal Üretim,Canlý Hayvan Sayýsý,3,Afyonkarahisar,1306,Emirdað,yillik,1306,4,58,56,56,56,Afyonkarahisar Emirdað
Hayvansal Üretim,Diðer,3,Afyonkarahisar,1306,Emirdað,yillik,1306,4,357,341,341,308,Afyonkarahisar Emirdað
Hayvansal Üretim,Kýrkýlan Hayvan,3,Afyonkarahisar,1306,Emirdað,yillik,1306,4,4,4,4,4,Afyonkarahisar Emirdað
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,3,Afyonkarahisar,1306,Emirdað,yillik,1306,4,3,3,3,3,Afyonkarahisar Emirdað
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,3,Afyonkarahisar,1306,Emirdað,yillik,1306,4,1,1,1,1,Afyonkarahisar Emirdað
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,3,Afyonkarahisar,1306,Emirdað,yillik,1306,4,1,1,1,1,Afyonkarahisar Emirdað
Hayvansal Üretim,Canlý Hayvan Sayýsý,3,Afyonkarahisar,1404,Ýhsaniye,yillik,1404,4,58,56,56,56,Afyonkarahisar Ýhsaniye
Hayvansal Üretim,Diðer,3,Afyonkarahisar,1404,Ýhsaniye,yillik,1404,4,373,311,320,312,Afyonkarahisar Ýhsaniye
Hayvansal Üretim,Kýrkýlan Hayvan,3,Afyonkarahisar,1404,Ýhsaniye,yillik,1404,4,3,3,3,3,Afyonkarahisar Ýhsaniye
Hayvansal Üretim,Kümes Hayvanlarý - Diðer,3,Afyonkarahisar,1404,Ýhsaniye,yillik,1404,4,3,3,3,3,Afyonkarahisar Ýhsaniye
Hayvansal Üretim,Kümes Hayvanlarý - Et Tavuðu,3,Afyonkarahisar,1404,Ýhsaniye,yillik,1404,4,1,1,1,1,Afyonkarahisar Ýhsaniye
Hayvansal Üretim,Kümes Hayvanlarý - Yumurta Tavuðu,3,Afyonkarahisar,1404,Ýhsaniye,yillik,1404,4,1,1,1,1,Afyonkarahisar Ýhsaniye
Hayvansal Üretim,Canlý Hayvan Sayýsý,3,Afyonkarahisar,1594,Sandýklý,yillik,1594,4,58,56,56,56,Afyonkarahisar Sandýklý
