il_kod,il_ad,ilce_kod,ilce_ad,merkez_ilce_mi,yuzolcum
10,Balýkesir,1191,Bigadiç,false,1050,13
10,Balýkesir,1418,Ývrindi,false,840,22
10,Balýkesir,1294,Edremit,false,593
10,Balýkesir,1360,Gönen,false,1187,74
10,Balýkesir,1824,Marmara,false,138,11
10,Balýkesir,1644,Susurluk,false,600,56
10,Balýkesir,1169,Balya,false,804,13
10,Balýkesir,1384,Havran,false,515,25
10,Balýkesir,1928,Gömeç,false,1575
10,Balýkesir,1161,Ayvalýk,false,3148
10,Balýkesir,1608,Savaþtepe,false,422,82
10,Balýkesir,1619,Sýndýrgý,false,1320,9
10,Balýkesir,1514,Manyas,false,711,55
10,Balýkesir,1291,Dursunbey,false,1744,64
11,Bilecik,1636,Söðüt,false,511,48
11,Bilecik,1192,Merkez,false,781,63
11,Bilecik,1571,Pazaryeri,false,363,88
11,Bilecik,1857,Yenipazar,false,299,7
11,Bilecik,1948,Ýnhisar,false,283,79
11,Bilecik,1359,Gölpazarý,false,647,54
11,Bilecik,1559,Osmaneli,false,519,73
11,Bilecik,1210,Bozüyük,false,822,34
12,Bingöl,1633,Solhan,false,990,55
12,Bingöl,1193,Merkez,false,1776,87
12,Bingöl,1446,Karlýova,false,1574,28
12,Bingöl,1996,Yedisu,false,442,33
12,Bingöl,1344,Genç,false,1492,47
12,Bingöl,1855,Yayladere,false,403,16
12,Bingöl,1475,Kiðý,false,538,53
12,Bingöl,1750,Adaklý,false,832,52
13,Bitlis,1537,Mutki,false,1131,91
13,Bitlis,1394,Hizan,false,1098,94
13,Bitlis,1112,Ahlat,false,1142,6
13,Bitlis,1106,Adilcevaz,false,1629,7
13,Bitlis,1669,Tatvan,false,1756,98
13,Bitlis,1798,Güroymak,false,561,25
13,Bitlis,1196,Merkez,false,1010,89
14,Bolu,1610,Seben,false,800
14,Bolu,1346,Gerede,false,1052,45
14,Bolu,1522,Mengen,false,978,62
14,Bolu,1916,Dörtdivan,false,470,63
14,Bolu,1199,Merkez,false,1515,12
14,Bolu,1364,Göynük,false,1366,11
14,Bolu,1531,Mudurnu,false,14099
14,Bolu,1466,Kýbrýscýk,false,517,49
14,Bolu,1997,Yeniçaða,false,155,18
15,Burdur,1215,Merkez,false,1631,98
15,Burdur,1813,Karamanlý,false,352,17
15,Burdur,1903,Çeltikçi,false,170,86
15,Burdur,1874,Altýnyayla,false,2726
15,Burdur,1357,Gölhisar,false,496,29
15,Burdur,1899,Çavdýr,false,462,23
15,Burdur,1109,Aðlasun,false,300,55
15,Burdur,1672,Tefenni,false,581,9
15,Burdur,1816,Kemer,false,351,94
15,Burdur,1211,Bucak,false,1456,83
15,Burdur,1728,Yeþilova,false,1030,68
16,Bursa,1420,Ýznik,false,5619
16,Bursa,1411,Ýnegöl,false,1092,47
16,Bursa,1725,Yeniþehir,false,720,45
16,Bursa,1832,Osmangazi,false,623,91
16,Bursa,1829,Nilüfer,false,506,79
16,Bursa,1935,Gürsu,false,118,63
16,Bursa,1960,Kestel,false,390,72
16,Bursa,1434,Karacabey,false,1242,98
16,Bursa,1799,Harmancýk,false,383,49
16,Bursa,1859,Yýldýrým,false,128,84
16,Bursa,1457,Keles,false,664,99
16,Bursa,1343,Gemlik,false,410,38
16,Bursa,1530,Mudanya,false,376,55
16,Bursa,1553,Orhaneli,false,862,71
16,Bursa,1783,Büyükorhan,false,516,1
16,Bursa,1554,Orhangazi,false,350,32
16,Bursa,1535,Mustafakemalpaþa,false,1567,37
17,Çanakkale,1408,Gökçeada,false,282,5
